"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",22530,863,2769,"2024-07-12"
"@cosmos-kit/core","cosmos-kit",363278,13574,44913,"2024-07-12"
"@cosmos-kit/react","cosmos-kit",117608,3008,8872,"2024-07-12"
"@cosmos-kit/react-lite","cosmos-kit",125026,3468,11851,"2024-07-12"
"@cosmos-kit/walletconnect","cosmos-kit",225940,9537,27609,"2024-07-12"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",39064,1383,3796,"2024-07-12"
"@cosmos-kit/ledger","cosmos-kit-wallets",30999,1220,3880,"2024-07-12"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",21143,811,2627,"2024-07-12"
"@cosmos-kit/fin","cosmos-kit-wallets",27499,1172,3591,"2024-07-12"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",34806,1263,3764,"2024-07-12"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",79309,6981,15169,"2024-07-12"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",55830,6764,14199,"2024-07-12"
"@cosmos-kit/shell","cosmos-kit-wallets",29802,1138,3530,"2024-07-12"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",1291,18,362,"2024-07-12"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",157050,8046,18886,"2024-07-12"
"@cosmos-kit/vectis","cosmos-kit-wallets",49435,1980,4930,"2024-07-12"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",32166,1208,3903,"2024-07-12"
"@cosmos-kit/ninji","cosmos-kit-wallets",6484,292,1229,"2024-07-12"
"@cosmos-kit/station-extension","cosmos-kit-wallets",77373,7246,16043,"2024-07-12"
"@cosmos-kit/coin98","cosmos-kit-wallets",35022,1268,3812,"2024-07-12"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",196445,8624,21071,"2024-07-12"
"@cosmos-kit/exodus","cosmos-kit-wallets",28081,1157,3497,"2024-07-12"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",45609,6702,14009,"2024-07-12"
"@cosmos-kit/leap","cosmos-kit-wallets",189970,8166,18782,"2024-07-12"
"@cosmos-kit/xdefi","cosmos-kit-wallets",84252,6690,14429,"2024-07-12"
"@cosmos-kit/web3auth","cosmos-kit-wallets",20393,719,1704,"2024-07-12"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",3349,43,527,"2024-07-12"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",156235,7468,16813,"2024-07-12"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",30277,1135,3538,"2024-07-12"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",146361,7334,16725,"2024-07-12"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",48698,1837,4730,"2024-07-12"
"@cosmos-kit/station","cosmos-kit-wallets",77122,7241,16021,"2024-07-12"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",28663,1157,3674,"2024-07-12"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",158017,7786,18773,"2024-07-12"
"@cosmos-kit/initia","cosmos-kit-wallets",3200,40,484,"2024-07-12"
"@cosmos-kit/frontier","cosmos-kit-wallets",37459,1371,3709,"2024-07-12"
"@cosmos-kit/trust","cosmos-kit-wallets",56268,6823,14131,"2024-07-12"
"@cosmos-kit/compass","cosmos-kit-wallets",38188,1283,3909,"2024-07-12"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",198177,8334,20938,"2024-07-12"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",207849,9069,22679,"2024-07-12"
