"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",38153,873,3446,"2024-11-21"
"@cosmos-kit/core","cosmos-kit",527255,20421,60297,"2024-11-21"
"@cosmos-kit/react","cosmos-kit",147297,2121,10907,"2024-11-21"
"@cosmos-kit/react-lite","cosmos-kit",175982,2650,12908,"2024-11-21"
"@cosmos-kit/walletconnect","cosmos-kit",376775,17468,52526,"2024-11-21"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",54670,915,3994,"2024-11-21"
"@cosmos-kit/ledger","cosmos-kit-wallets",52130,1247,5463,"2024-11-21"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",27718,340,1522,"2024-11-21"
"@cosmos-kit/fin","cosmos-kit-wallets",45742,937,3913,"2024-11-21"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",52588,919,3932,"2024-11-21"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",210752,15661,45553,"2024-11-21"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",175803,15696,44583,"2024-11-21"
"@cosmos-kit/shell","cosmos-kit-wallets",47709,914,3855,"2024-11-21"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",3952,288,1425,"2024-11-21"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",295975,16591,49663,"2024-11-21"
"@cosmos-kit/vectis","cosmos-kit-wallets",69946,939,5410,"2024-11-21"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",51069,964,4077,"2024-11-21"
"@cosmos-kit/ninji","cosmos-kit-wallets",9248,39,473,"2024-11-21"
"@cosmos-kit/station-extension","cosmos-kit-wallets",210973,15775,46231,"2024-11-21"
"@cosmos-kit/coin98","cosmos-kit-wallets",52833,922,3936,"2024-11-21"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",344506,17114,52086,"2024-11-21"
"@cosmos-kit/exodus","cosmos-kit-wallets",45911,912,3836,"2024-11-21"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",166021,15708,44517,"2024-11-21"
"@cosmos-kit/leap","cosmos-kit-wallets",324509,16808,49978,"2024-11-21"
"@cosmos-kit/xdefi","cosmos-kit-wallets",210213,15734,44700,"2024-11-21"
"@cosmos-kit/web3auth","cosmos-kit-wallets",23877,176,939,"2024-11-21"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",4840,52,301,"2024-11-21"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",278952,16254,47368,"2024-11-21"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",48198,920,3882,"2024-11-21"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",273365,16270,47258,"2024-11-21"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",68834,955,5402,"2024-11-21"
"@cosmos-kit/station","cosmos-kit-wallets",210791,15750,46063,"2024-11-21"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",46752,922,4063,"2024-11-21"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",308086,16970,50171,"2024-11-21"
"@cosmos-kit/initia","cosmos-kit-wallets",4635,53,300,"2024-11-21"
"@cosmos-kit/frontier","cosmos-kit-wallets",53445,939,4013,"2024-11-21"
"@cosmos-kit/trust","cosmos-kit-wallets",175791,15670,44506,"2024-11-21"
"@cosmos-kit/compass","cosmos-kit-wallets",57393,941,4000,"2024-11-21"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",340452,17085,50927,"2024-11-21"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",360208,17322,53395,"2024-11-21"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",9974,90,693,"2024-11-21"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",63613,949,4098,"2024-11-21"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",229780,15789,45070,"2024-11-21"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",181423,14779,42198,"2024-11-21"
"@cosmos-kit/omni","cosmos-kit-wallets",58303,918,4035,"2024-11-21"
"@cosmos-kit/keplr","cosmos-kit-wallets",344069,16895,50434,"2024-11-21"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",60568,961,4159,"2024-11-21"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",265043,16955,49781,"2024-11-21"
"@cosmwasm/ts-codegen","cosmwasm",813806,25234,79175,"2024-11-21"
"@cosmwasm/ts-codegen-types","cosmwasm",38984,403,4266,"2024-11-21"
"@cosmwasm/ts-codegen-ast","cosmwasm",39203,401,4333,"2024-11-21"
"wasm-ast-types","cosmwasm",771767,25172,75518,"2024-11-21"
"cosmwasm-typescript-gen","cosmwasm",5040,325,796,"2024-11-21"
"@interchain-ui/react","interchain-ui",126983,2224,10123,"2024-11-21"
"@interchain-ui/vue","interchain-ui",7435,5,371,"2024-11-21"
"@cosmology/telescope","telescope",255279,17218,51094,"2024-11-21"
"@cosmology/lcd","telescope",251244,13843,56570,"2024-11-21"
"@cosmology/ast","telescope",270130,23087,66188,"2024-11-21"
"@cosmology/types","telescope",310327,36195,99338,"2024-11-21"
"@cosmology/utils","telescope",310563,36244,99521,"2024-11-21"
"@cosmology/proto-parser","telescope",309859,36295,99496,"2024-11-21"
"@osmonauts/telescope","telescope",287323,3124,8737,"2024-11-21"
"@osmonauts/lcd","telescope",908311,9453,35088,"2024-11-21"
"@osmonauts/ast","telescope",282957,3295,9894,"2024-11-21"
"@osmonauts/utils","telescope",268061,2544,7241,"2024-11-21"
"@osmonauts/types","telescope",293612,2917,8166,"2024-11-21"
"@osmonauts/proto-parser","telescope",295578,3038,8261,"2024-11-21"
"@dydxprotocol/v4-client-js","dydx",63840,942,5347,"2024-11-21"
"stargazejs","stargaze",14309,32,193,"2024-11-21"
"@stargaze-zone/chain","stargaze",950,20,26,"2024-11-21"
"@stargaze-zone/contracts","stargaze",1210,1,8,"2024-11-21"
"stargaze-query","stargaze",1661,20,57,"2024-11-21"
"stridejs","stride",23519,112,590,"2024-11-21"
"quicksilverjs","quicksilver",4391,8,39,"2024-11-21"
"juno-network","juno",18358,156,812,"2024-11-21"
"@juno-network/assets","juno",2569,32,69,"2024-11-21"
"@osmonauts/math","osmosis",27188,559,1885,"2024-11-21"
"osmojs","osmosis",311083,4438,17121,"2024-11-21"
"osmo-query","osmosis",16359,317,1642,"2024-11-21"
"@chain-registry/client","chain-registry",313183,26609,75487,"2024-11-21"
"@chain-registry/types","chain-registry",1524861,73653,227697,"2024-11-21"
"@chain-registry/keplr","chain-registry",609432,37998,115074,"2024-11-21"
"@chain-registry/cosmostation","chain-registry",484256,33466,98704,"2024-11-21"
"@chain-registry/osmosis","chain-registry",78582,1574,5115,"2024-11-21"
"@chain-registry/juno","chain-registry",30164,836,3332,"2024-11-21"
"@chain-registry/assets","chain-registry",46153,1595,5533,"2024-11-21"
"@chain-registry/utils","chain-registry",438956,27408,78469,"2024-11-21"
"chain-registry","chain-registry",720501,28337,102441,"2024-11-21"
"cosmjs-utils","cosmology",22171,479,1789,"2024-11-21"
"@cosmology/cli","cosmology",9435,181,471,"2024-11-21"
"@cosmology/core","cosmology",20392,312,1049,"2024-11-21"
"cosmology","cosmology",8810,12,36,"2024-11-21"
"interchain","cosmology",15934,446,1743,"2024-11-21"
"interchain-query","cosmology",14006,150,537,"2024-11-21"
"create-cosmos-app","cosmology",7459,132,227,"2024-11-21"
"create-cosmwasm-app","cosmology",2331,0,7,"2024-11-21"
"@cosmology-ui/react","cosmology",21332,61,277,"2024-11-21"
"starshipjs","starship",5775,392,1344,"2024-11-21"
"@starship-ci/cli","starship",4950,115,720,"2024-11-21"
"@starship-ci/client","starship",5393,119,774,"2024-11-21"
"@launchql/db-templates","launchql",3454,9,115,"2024-11-21"
"@launchql/db-transform","launchql",1556,4,51,"2024-11-21"
"@launchql/ext-achievements","launchql",1867,2,55,"2024-11-21"
"@launchql/ext-jobs-queue","launchql",2322,19,289,"2024-11-21"
"@launchql/ext-jwt-claims","launchql",2001,3,59,"2024-11-21"
"@launchql/ext-types","launchql",2449,7,72,"2024-11-21"
"@launchql/faker","launchql",1992,5,61,"2024-11-21"
"@launchql/inflection","launchql",2192,1,64,"2024-11-21"
"@launchql/totp","launchql",1994,2,57,"2024-11-21"
"@pgql/parse","launchql",56497,20,56,"2024-11-21"
"@pgsql/deparser","launchql",,,,"2024-11-21"
"@pgsql/enums","launchql",839,1,5,"2024-11-21"
"@pgsql/parser","launchql",1070,345,864,"2024-11-21"
"@pgsql/types","launchql",394927,21762,83468,"2024-11-21"
"@pgsql/utils","launchql",33524,5689,22365,"2024-11-21"
"@pyramation/postgraphile-plugin-fulltext-filter","launchql",33436,1335,2611,"2024-11-21"
"graphile-column-privileges-mutations","launchql",2783,46,154,"2024-11-21"
"libpg-query","launchql",3158349,41004,158638,"2024-11-21"
"pg-proto-parser","launchql",4457,8,73,"2024-11-21"
"pg-query-native-latest","launchql",393,2,6,"2024-11-21"
"pg-utils","launchql",628,19,23,"2024-11-21"
"pgsql-deparser","launchql",2641936,30641,110990,"2024-11-21"
"pgsql-enums","launchql",2702879,30586,110925,"2024-11-21"
"pgsql-parser","launchql",2617446,25010,88900,"2024-11-21"
"@protobufs/cosmos","protobufs",368375,3160,11896,"2024-11-21"
"@protobufs/google","protobufs",378933,3363,13635,"2024-11-21"
"@protobufs/gogoproto","protobufs",378839,3369,13640,"2024-11-21"
"@protobufs/cosmwasm","protobufs",140105,418,4178,"2024-11-21"
"@protobufs/tendermint","protobufs",365400,3087,11638,"2024-11-21"
"@protobufs/ibc","protobufs",142663,740,5331,"2024-11-21"
"@protobufs/cosmos_proto","protobufs",370019,3096,11643,"2024-11-21"
"@protobufs/osmosis","protobufs",10546,119,607,"2024-11-21"
"@protobufs/secret","protobufs",473,1,3,"2024-11-21"
"@protobufs/juno","protobufs",1581,27,39,"2024-11-21"
"@protobufs/akash","protobufs",643,7,19,"2024-11-21"
"@protobufs/regen","protobufs",595,1,12,"2024-11-21"
"@protobufs/pylons","protobufs",405,1,6,"2024-11-21"
"@protobufs/stargaze","protobufs",644,8,27,"2024-11-21"
"@protobufs/bcna","protobufs",520,2,6,"2024-11-21"
"@protobufs/comdex","protobufs",434,3,8,"2024-11-21"
"@protobufs/evmos","protobufs",302,1,3,"2024-11-21"
"@protobufs/axelar","protobufs",273,2,9,"2024-11-21"
"@protobufs/amino","protobufs",145160,835,5416,"2024-11-21"
"@cosmology/protobufjs","protobufs",445099,36421,102785,"2024-11-21"
"@pyramation/protobufjs","protobufs",268545,2783,7908,"2024-11-21"
"ast-stringify","utils",667027,25032,74594,"2024-11-21"
"nested-obj","utils",72120,6075,26652,"2024-11-21"
"strfy-json","utils",,,,"2024-11-21"
"schema-typescript","utils",9000,264,1127,"2024-11-21"
"etag-hash","utils",46708,409,1973,"2024-11-21"
"uuid-hash","utils",14233,323,1198,"2024-11-21"
"inquirerer","utils",681398,25256,75967,"2024-11-21"
"publish-scripts","utils",15591,383,1369,"2024-11-21"
"skitch-template","utils",1406,2,24,"2024-11-21"
