"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",14831,453,845,"2024-04-15"
"@cosmos-kit/core","cosmos-kit",267471,7056,12718,"2024-04-15"
"@cosmos-kit/react","cosmos-kit",100846,1218,2331,"2024-04-15"
"@cosmos-kit/react-lite","cosmos-kit",94075,1976,3733,"2024-04-15"
"@cosmos-kit/walletconnect","cosmos-kit",161322,4399,7896,"2024-04-15"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",28848,587,1124,"2024-04-15"
"@cosmos-kit/ledger","cosmos-kit-wallets",19940,694,1330,"2024-04-15"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",12288,872,1521,"2024-04-15"
"@cosmos-kit/fin","cosmos-kit-wallets",17608,621,1435,"2024-04-15"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",24390,630,1221,"2024-04-15"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",45303,2109,3822,"2024-04-15"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",34545,675,1296,"2024-04-15"
"@cosmos-kit/shell","cosmos-kit-wallets",19626,644,1200,"2024-04-15"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",354,19,82,"2024-04-15"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",112657,3053,5423,"2024-04-15"
"@cosmos-kit/vectis","cosmos-kit-wallets",38775,679,1336,"2024-04-15"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",21542,701,1560,"2024-04-15"
"@cosmos-kit/ninji","cosmos-kit-wallets",3171,200,473,"2024-04-15"
"@cosmos-kit/station-extension","cosmos-kit-wallets",40329,2509,4362,"2024-04-15"
"@cosmos-kit/coin98","cosmos-kit-wallets",24712,669,1262,"2024-04-15"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",142240,4232,7533,"2024-04-15"
"@cosmos-kit/exodus","cosmos-kit-wallets",18485,572,1106,"2024-04-15"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",24735,669,1246,"2024-04-15"
"@cosmos-kit/leap","cosmos-kit-wallets",143707,3974,7045,"2024-04-15"
"@cosmos-kit/xdefi","cosmos-kit-wallets",50907,2102,3855,"2024-04-15"
"@cosmos-kit/web3auth","cosmos-kit-wallets",16511,180,404,"2024-04-15"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",1880,49,99,"2024-04-15"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",119320,2889,5133,"2024-04-15"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",20091,642,1202,"2024-04-15"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",105947,2847,5093,"2024-04-15"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",37343,685,1340,"2024-04-15"
"@cosmos-kit/station","cosmos-kit-wallets",40236,2561,4408,"2024-04-15"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",18863,604,1142,"2024-04-15"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",108093,3925,6972,"2024-04-15"
"@cosmos-kit/initia","cosmos-kit-wallets",1801,49,97,"2024-04-15"
"@cosmos-kit/frontier","cosmos-kit-wallets",27453,586,1131,"2024-04-15"
"@cosmos-kit/trust","cosmos-kit-wallets",36524,702,1325,"2024-04-15"
"@cosmos-kit/compass","cosmos-kit-wallets",27332,666,1330,"2024-04-15"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",143070,4132,7480,"2024-04-15"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",149478,4384,7897,"2024-04-15"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",3363,212,489,"2024-04-15"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",32229,738,1637,"2024-04-15"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",68643,2487,4320,"2024-04-15"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",37819,1652,3006,"2024-04-15"
"@cosmos-kit/omni","cosmos-kit-wallets",33147,660,1338,"2024-04-15"
