"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",22722,669,2619,"2024-07-16"
"@cosmos-kit/core","cosmos-kit",367741,13307,47075,"2024-07-16"
"@cosmos-kit/react","cosmos-kit",117864,2708,8694,"2024-07-16"
"@cosmos-kit/react-lite","cosmos-kit",125981,2994,11512,"2024-07-16"
"@cosmos-kit/walletconnect","cosmos-kit",230171,10203,29606,"2024-07-16"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",39283,1074,3666,"2024-07-16"
"@cosmos-kit/ledger","cosmos-kit-wallets",31222,904,3694,"2024-07-16"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",21277,520,2616,"2024-07-16"
"@cosmos-kit/fin","cosmos-kit-wallets",27706,828,3433,"2024-07-16"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",35020,949,3600,"2024-07-16"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",82819,8170,17632,"2024-07-16"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",58929,7985,16764,"2024-07-16"
"@cosmos-kit/shell","cosmos-kit-wallets",30003,825,3377,"2024-07-16"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",1328,45,386,"2024-07-16"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",160622,9244,21277,"2024-07-16"
"@cosmos-kit/vectis","cosmos-kit-wallets",49584,1635,4920,"2024-07-16"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",32386,858,3755,"2024-07-16"
"@cosmos-kit/ninji","cosmos-kit-wallets",6510,161,1169,"2024-07-16"
"@cosmos-kit/station-extension","cosmos-kit-wallets",80938,8379,18504,"2024-07-16"
"@cosmos-kit/coin98","cosmos-kit-wallets",35240,958,3643,"2024-07-16"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",200166,9737,23304,"2024-07-16"
"@cosmos-kit/exodus","cosmos-kit-wallets",28279,843,3346,"2024-07-16"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",48703,7918,16614,"2024-07-16"
"@cosmos-kit/leap","cosmos-kit-wallets",193122,9250,20961,"2024-07-16"
"@cosmos-kit/xdefi","cosmos-kit-wallets",87621,7924,16766,"2024-07-16"
"@cosmos-kit/web3auth","cosmos-kit-wallets",20434,485,1656,"2024-07-16"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",3373,46,518,"2024-07-16"
