"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",12606,470,187,"2024-03-05"
"@cosmos-kit/core","cosmos-kit",236764,5139,2584,"2024-03-05"
"@cosmos-kit/react","cosmos-kit",96564,1442,635,"2024-03-05"
"@cosmos-kit/react-lite","cosmos-kit",83603,1955,870,"2024-03-05"
"@cosmos-kit/walletconnect","cosmos-kit",140161,3227,1513,"2024-03-05"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",25776,697,384,"2024-03-05"
"@cosmos-kit/ledger","cosmos-kit-wallets",16232,684,347,"2024-03-05"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",8624,483,280,"2024-03-05"
"@cosmos-kit/fin","cosmos-kit-wallets",14191,467,264,"2024-03-05"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",20820,716,382,"2024-03-05"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",35068,1654,865,"2024-03-05"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",31030,642,316,"2024-03-05"
"@cosmos-kit/shell","cosmos-kit-wallets",16316,658,347,"2024-03-05"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",253,7,5,"2024-03-05"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",98482,2301,1230,"2024-03-05"
"@cosmos-kit/vectis","cosmos-kit-wallets",34937,662,318,"2024-03-05"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",17875,525,302,"2024-03-05"
"@cosmos-kit/ninji","cosmos-kit-wallets",1979,75,45,"2024-03-05"
"@cosmos-kit/station-extension","cosmos-kit-wallets",29189,1600,820,"2024-03-05"
"@cosmos-kit/coin98","cosmos-kit-wallets",21079,719,385,"2024-03-05"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",122818,2936,1500,"2024-03-05"
"@cosmos-kit/exodus","cosmos-kit-wallets",15463,633,329,"2024-03-05"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",21468,339,148,"2024-03-05"
"@cosmos-kit/leap","cosmos-kit-wallets",125626,2862,1434,"2024-03-05"
"@cosmos-kit/xdefi","cosmos-kit-wallets",40445,1606,821,"2024-03-05"
"@cosmos-kit/web3auth","cosmos-kit-wallets",15054,226,111,"2024-03-05"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",1535,19,11,"2024-03-05"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",105918,2113,1136,"2024-03-05"
