"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",12690,405,315,"2024-03-07"
"@cosmos-kit/core","cosmos-kit",238848,5801,4765,"2024-03-07"
"@cosmos-kit/react","cosmos-kit",96830,1279,981,"2024-03-07"
"@cosmos-kit/react-lite","cosmos-kit",84196,1836,1463,"2024-03-07"
"@cosmos-kit/walletconnect","cosmos-kit",141570,3612,2922,"2024-03-07"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",25983,656,591,"2024-03-07"
"@cosmos-kit/ledger","cosmos-kit-wallets",16462,641,577,"2024-03-07"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",9024,712,680,"2024-03-07"
"@cosmos-kit/fin","cosmos-kit-wallets",14304,430,377,"2024-03-07"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",21083,712,645,"2024-03-07"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",35668,1775,1465,"2024-03-07"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",31249,606,535,"2024-03-07"
"@cosmos-kit/shell","cosmos-kit-wallets",16547,643,578,"2024-03-07"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",254,7,6,"2024-03-07"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",99270,2426,2018,"2024-03-07"
"@cosmos-kit/vectis","cosmos-kit-wallets",35159,617,540,"2024-03-07"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",18014,499,441,"2024-03-07"
"@cosmos-kit/ninji","cosmos-kit-wallets",2003,75,69,"2024-03-07"
"@cosmos-kit/station-extension","cosmos-kit-wallets",29829,1769,1460,"2024-03-07"
"@cosmos-kit/coin98","cosmos-kit-wallets",21347,721,653,"2024-03-07"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",124118,3351,2800,"2024-03-07"
"@cosmos-kit/exodus","cosmos-kit-wallets",15665,594,531,"2024-03-07"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",21576,306,256,"2024-03-07"
"@cosmos-kit/leap","cosmos-kit-wallets",126877,3254,2685,"2024-03-07"
"@cosmos-kit/xdefi","cosmos-kit-wallets",41066,1749,1442,"2024-03-07"
"@cosmos-kit/web3auth","cosmos-kit-wallets",15165,235,222,"2024-03-07"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",1568,46,44,"2024-03-07"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",106652,2264,1870,"2024-03-07"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",16998,648,584,"2024-03-07"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",93328,2230,1842,"2024-03-07"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",33703,648,565,"2024-03-07"
"@cosmos-kit/station","cosmos-kit-wallets",29695,1772,1461,"2024-03-07"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",16019,587,527,"2024-03-07"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",91110,3050,2546,"2024-03-07"
"@cosmos-kit/initia","cosmos-kit-wallets",1487,44,42,"2024-03-07"
"@cosmos-kit/frontier","cosmos-kit-wallets",24560,651,584,"2024-03-07"
"@cosmos-kit/trust","cosmos-kit-wallets",33110,608,528,"2024-03-07"
"@cosmos-kit/compass","cosmos-kit-wallets",23886,737,662,"2024-03-07"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",124623,3427,2785,"2024-03-07"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",130056,3613,2967,"2024-03-07"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",2191,85,74,"2024-03-07"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",27966,803,722,"2024-03-07"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",58113,1986,1661,"2024-03-07"
