"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",596,9,40,"2025-03-02"
"@hyperweb/cli","hyperwebjs",121,1,17,"2025-03-02"
"hyperwebjs","hyperwebjs",1092,34,494,"2025-03-02"
"hyperweb-kit","hyperwebjs",121,0,16,"2025-03-02"
"@hyperweb/build","hyperwebjs",513,14,305,"2025-03-02"
"@hyperweb/ts-json-schema","hyperwebjs",249,3,149,"2025-03-02"
"interchainjs","interchain-js",13370,56,2315,"2025-03-02"
"injectivejs","interchain-js",6982,62,901,"2025-03-02"
"@interchainjs/utils","interchain-js",14580,129,3606,"2025-03-02"
"@interchainjs/types","interchain-js",14927,143,3705,"2025-03-02"
"@interchainjs/auth","interchain-js",13002,105,2911,"2025-03-02"
"@interchainjs/cosmos","interchain-js",13978,67,2947,"2025-03-02"
"@interchainjs/cosmos-msgs","interchain-js",380,1,9,"2025-03-02"
"@interchainjs/cosmos-query","interchain-js",375,1,10,"2025-03-02"
"@interchainjs/ethereum","interchain-js",6419,30,1216,"2025-03-02"
"@interchainjs/injective","interchain-js",7194,37,1417,"2025-03-02"
"@interchainjs/cosmos-types","interchain-js",16142,104,3494,"2025-03-02"
"@interchainjs/ethermint","interchain-js",758,3,20,"2025-03-02"
"injective-query","interchain-js",91,0,5,"2025-03-02"
"injective-react","interchain-js",2148,23,711,"2025-03-02"
"injective-vue","interchain-js",1867,25,671,"2025-03-02"
"interchain-react","interchain-js",964,10,53,"2025-03-02"
"interchain-kit","cosmos-kit",5697,126,935,"2025-03-02"
"@interchain-kit/core","cosmos-kit",11780,141,2192,"2025-03-02"
"@interchain-kit/react","cosmos-kit",5613,130,1053,"2025-03-02"
"@interchain-kit/vue","cosmos-kit",1687,5,322,"2025-03-02"
"cosmos-kit","cosmos-kit",50128,992,4622,"2025-03-02"
"@cosmos-kit/core","cosmos-kit",699859,8738,34062,"2025-03-02"
"@cosmos-kit/react","cosmos-kit",151064,2813,10565,"2025-03-02"
"@cosmos-kit/react-lite","cosmos-kit",185094,3106,11576,"2025-03-02"
"@cosmos-kit/walletconnect","cosmos-kit",519631,8284,31335,"2025-03-02"
"create-cosmos-app","create-cosmos-app",5742,32,128,"2025-03-02"
"create-interchain-app","create-cosmos-app",1167,13,58,"2025-03-02"
"@interchain-kit/okx-extension","interchain-kit-wallets",5313,120,926,"2025-03-02"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4435,69,784,"2025-03-02"
"@interchain-kit/leap-extension","interchain-kit-wallets",5396,130,1078,"2025-03-02"
"@interchain-kit/ledger","interchain-kit-wallets",5153,112,893,"2025-03-02"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5194,115,908,"2025-03-02"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5171,104,912,"2025-03-02"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5129,111,931,"2025-03-02"
"@interchain-kit/keplr-extension","interchain-kit-wallets",5590,129,1069,"2025-03-02"
"@interchain-kit/frontier-extension","interchain-kit-wallets",3621,82,796,"2025-03-02"
"@interchain-kit/station-extension","interchain-kit-wallets",3616,90,795,"2025-03-02"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",3598,80,782,"2025-03-02"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",3666,89,867,"2025-03-02"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",2616,78,801,"2025-03-02"
"@interchain-kit/trust-extension","interchain-kit-wallets",2395,65,740,"2025-03-02"
