"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",43870,799,3131,"2025-01-08"
"@cosmos-kit/core","cosmos-kit",666012,17562,78319,"2025-01-08"
"@cosmos-kit/react","cosmos-kit",150205,1530,6917,"2025-01-08"
"@cosmos-kit/react-lite","cosmos-kit",181613,1726,8391,"2025-01-08"
"@cosmos-kit/walletconnect","cosmos-kit",485813,12082,55533,"2025-01-08"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58684,911,3486,"2025-01-08"
"@cosmos-kit/ledger","cosmos-kit-wallets",59339,933,4089,"2025-01-08"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",31257,754,2363,"2025-01-08"
"@cosmos-kit/fin","cosmos-kit-wallets",52026,958,3481,"2025-01-08"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",57288,968,3568,"2025-01-08"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",323741,10738,49918,"2025-01-08"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",286918,10808,50362,"2025-01-08"
"@cosmos-kit/shell","cosmos-kit-wallets",53601,829,3294,"2025-01-08"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5044,87,445,"2025-01-08"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",404611,11213,52399,"2025-01-08"
"@cosmos-kit/vectis","cosmos-kit-wallets",73383,867,3505,"2025-01-08"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",57299,931,3430,"2025-01-08"
"@cosmos-kit/ninji","cosmos-kit-wallets",9971,253,567,"2025-01-08"
"@cosmos-kit/station-extension","cosmos-kit-wallets",323060,10744,50400,"2025-01-08"
"@cosmos-kit/coin98","cosmos-kit-wallets",57548,954,3516,"2025-01-08"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",453046,11752,54697,"2025-01-08"
"@cosmos-kit/exodus","cosmos-kit-wallets",51508,927,3465,"2025-01-08"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",276979,10724,50079,"2025-01-08"
"@cosmos-kit/leap","cosmos-kit-wallets",432762,11872,54618,"2025-01-08"
"@cosmos-kit/xdefi","cosmos-kit-wallets",322260,10589,49745,"2025-01-08"
"@cosmos-kit/web3auth","cosmos-kit-wallets",24654,500,1478,"2025-01-08"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5112,103,251,"2025-01-08"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",385668,11184,51876,"2025-01-08"
