"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",15420,590,1435,"2024-04-22"
"@cosmos-kit/core","cosmos-kit",274163,7388,20106,"2024-04-22"
"@cosmos-kit/react","cosmos-kit",101934,1405,3736,"2024-04-22"
"@cosmos-kit/react-lite","cosmos-kit",96195,2120,5853,"2024-04-22"
"@cosmos-kit/walletconnect","cosmos-kit",165465,4143,12039,"2024-04-22"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",29592,744,1868,"2024-04-22"
"@cosmos-kit/ledger","cosmos-kit-wallets",20909,969,2299,"2024-04-22"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",12790,502,2023,"2024-04-22"
"@cosmos-kit/fin","cosmos-kit-wallets",18373,765,2200,"2024-04-22"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",25154,764,1985,"2024-04-22"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",47741,2438,6260,"2024-04-22"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",35388,843,2139,"2024-04-22"
"@cosmos-kit/shell","cosmos-kit-wallets",20483,857,2057,"2024-04-22"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",413,59,141,"2024-04-22"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",115988,3331,8754,"2024-04-22"
"@cosmos-kit/vectis","cosmos-kit-wallets",39611,836,2172,"2024-04-22"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",22349,807,2367,"2024-04-22"
"@cosmos-kit/ninji","cosmos-kit-wallets",3405,234,707,"2024-04-22"
"@cosmos-kit/station-extension","cosmos-kit-wallets",43198,2869,7231,"2024-04-22"
"@cosmos-kit/coin98","cosmos-kit-wallets",25473,761,2023,"2024-04-22"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",146301,4061,11594,"2024-04-22"
"@cosmos-kit/exodus","cosmos-kit-wallets",19220,735,1841,"2024-04-22"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",25527,792,2038,"2024-04-22"
"@cosmos-kit/leap","cosmos-kit-wallets",147322,3810,10855,"2024-04-22"
"@cosmos-kit/xdefi","cosmos-kit-wallets",53326,2419,6274,"2024-04-22"
"@cosmos-kit/web3auth","cosmos-kit-wallets",16729,218,622,"2024-04-22"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",2006,126,225,"2024-04-22"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",122493,3173,8306,"2024-04-22"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",20951,860,2062,"2024-04-22"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",109067,3120,8213,"2024-04-22"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",38183,840,2180,"2024-04-22"
"@cosmos-kit/station","cosmos-kit-wallets",43104,2868,7276,"2024-04-22"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",19594,731,1873,"2024-04-22"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",111838,3745,10717,"2024-04-22"
"@cosmos-kit/initia","cosmos-kit-wallets",1924,123,220,"2024-04-22"
"@cosmos-kit/frontier","cosmos-kit-wallets",28201,748,1879,"2024-04-22"
"@cosmos-kit/trust","cosmos-kit-wallets",37324,800,2125,"2024-04-22"
"@cosmos-kit/compass","cosmos-kit-wallets",28191,859,2189,"2024-04-22"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",146962,3892,11372,"2024-04-22"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",153674,4196,12093,"2024-04-22"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",3598,235,724,"2024-04-22"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",33126,897,2534,"2024-04-22"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",71402,2759,7079,"2024-04-22"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",39685,1866,4872,"2024-04-22"
"@cosmos-kit/omni","cosmos-kit-wallets",33990,843,2181,"2024-04-22"
"@cosmos-kit/keplr","cosmos-kit-wallets",166863,3956,11400,"2024-04-22"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",35698,804,2181,"2024-04-22"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",72729,3879,10981,"2024-04-22"
"@cosmwasm/ts-codegen","cosmwasm",334631,28549,67236,"2024-04-22"
"@cosmwasm/ts-codegen-types","cosmwasm",147,147,147,"2024-04-22"
