"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",15988,574,2009,"2024-04-29"
"@cosmos-kit/core","cosmos-kit",282327,8607,28713,"2024-04-29"
"@cosmos-kit/react","cosmos-kit",103043,1379,5115,"2024-04-29"
"@cosmos-kit/react-lite","cosmos-kit",98330,2135,7988,"2024-04-29"
"@cosmos-kit/walletconnect","cosmos-kit",170931,5466,17505,"2024-04-29"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",30267,675,2543,"2024-04-29"
"@cosmos-kit/ledger","cosmos-kit-wallets",21772,863,3162,"2024-04-29"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",14100,1310,3333,"2024-04-29"
"@cosmos-kit/fin","cosmos-kit-wallets",19055,682,2882,"2024-04-29"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",25904,750,2735,"2024-04-29"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",50296,2555,8815,"2024-04-29"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",36181,793,2932,"2024-04-29"
"@cosmos-kit/shell","cosmos-kit-wallets",21275,792,2849,"2024-04-29"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",483,70,211,"2024-04-29"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",119523,3535,12289,"2024-04-29"
"@cosmos-kit/vectis","cosmos-kit-wallets",40312,701,2873,"2024-04-29"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",23123,774,3141,"2024-04-29"
"@cosmos-kit/ninji","cosmos-kit-wallets",3591,186,893,"2024-04-29"
"@cosmos-kit/station-extension","cosmos-kit-wallets",46130,2932,10163,"2024-04-29"
"@cosmos-kit/coin98","cosmos-kit-wallets",26222,749,2772,"2024-04-29"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",151655,5354,16948,"2024-04-29"
"@cosmos-kit/exodus","cosmos-kit-wallets",19872,652,2493,"2024-04-29"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",26264,737,2775,"2024-04-29"
"@cosmos-kit/leap","cosmos-kit-wallets",152250,5022,15877,"2024-04-29"
"@cosmos-kit/xdefi","cosmos-kit-wallets",55979,2653,8927,"2024-04-29"
"@cosmos-kit/web3auth","cosmos-kit-wallets",16913,184,806,"2024-04-29"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",2098,92,317,"2024-04-29"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",125761,3336,11642,"2024-04-29"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",21743,792,2854,"2024-04-29"
