"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",36080,379,2743,"2024-11-08"
"@cosmos-kit/core","cosmos-kit",496088,7698,46866,"2024-11-08"
"@cosmos-kit/react","cosmos-kit",143918,1311,9801,"2024-11-08"
"@cosmos-kit/react-lite","cosmos-kit",170752,1625,11927,"2024-11-08"
"@cosmos-kit/walletconnect","cosmos-kit",348330,6831,40863,"2024-11-08"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",52770,472,3506,"2024-11-08"
"@cosmos-kit/ledger","cosmos-kit-wallets",49113,622,4843,"2024-11-08"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",26903,231,1445,"2024-11-08"
"@cosmos-kit/fin","cosmos-kit-wallets",43461,476,3437,"2024-11-08"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",50569,465,3510,"2024-11-08"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",184624,6210,34576,"2024-11-08"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",150291,5918,33143,"2024-11-08"
"@cosmos-kit/shell","cosmos-kit-wallets",45455,464,3412,"2024-11-08"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",3262,87,1325,"2024-11-08"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",268750,6630,38098,"2024-11-08"
"@cosmos-kit/vectis","cosmos-kit-wallets",67963,773,5132,"2024-11-08"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",48716,496,3651,"2024-11-08"
"@cosmos-kit/ninji","cosmos-kit-wallets",9045,110,758,"2024-11-08"
"@cosmos-kit/station-extension","cosmos-kit-wallets",184817,6298,35268,"2024-11-08"
"@cosmos-kit/coin98","cosmos-kit-wallets",50775,466,3496,"2024-11-08"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",316723,6932,40739,"2024-11-08"
"@cosmos-kit/exodus","cosmos-kit-wallets",43667,464,3347,"2024-11-08"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",140440,5901,33033,"2024-11-08"
"@cosmos-kit/leap","cosmos-kit-wallets",297827,6512,38377,"2024-11-08"
"@cosmos-kit/xdefi","cosmos-kit-wallets",184374,5961,33433,"2024-11-08"
"@cosmos-kit/web3auth","cosmos-kit-wallets",23552,116,895,"2024-11-08"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",4675,24,467,"2024-11-08"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",253089,6206,35595,"2024-11-08"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",45919,462,3448,"2024-11-08"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",247113,6210,35552,"2024-11-08"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",66841,768,5150,"2024-11-08"
"@cosmos-kit/station","cosmos-kit-wallets",184691,6272,35221,"2024-11-08"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",44464,509,3542,"2024-11-08"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",279250,6529,38726,"2024-11-08"
"@cosmos-kit/initia","cosmos-kit-wallets",4471,23,444,"2024-11-08"
"@cosmos-kit/frontier","cosmos-kit-wallets",51516,470,3467,"2024-11-08"
"@cosmos-kit/trust","cosmos-kit-wallets",150288,5901,33093,"2024-11-08"
"@cosmos-kit/compass","cosmos-kit-wallets",55066,486,3538,"2024-11-08"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",312898,6635,39110,"2024-11-08"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",331823,7102,41595,"2024-11-08"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",9702,141,1023,"2024-11-08"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",61269,502,3740,"2024-11-08"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",204028,5998,33904,"2024-11-08"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",157289,5839,31849,"2024-11-08"
