"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",23704,854,3188,"2024-07-24"
"@cosmos-kit/core","cosmos-kit",378562,10290,50860,"2024-07-24"
"@cosmos-kit/react","cosmos-kit",119559,2041,9301,"2024-07-24"
"@cosmos-kit/react-lite","cosmos-kit",129319,2902,12154,"2024-07-24"
"@cosmos-kit/walletconnect","cosmos-kit",238999,7685,33395,"2024-07-24"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",40353,920,3981,"2024-07-24"
"@cosmos-kit/ledger","cosmos-kit-wallets",32393,1007,3994,"2024-07-24"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",21933,552,2675,"2024-07-24"
"@cosmos-kit/fin","cosmos-kit-wallets",28798,942,3761,"2024-07-24"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",36092,917,3900,"2024-07-24"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",89317,5625,21972,"2024-07-24"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",64814,5210,20742,"2024-07-24"
"@cosmos-kit/shell","cosmos-kit-wallets",31063,913,3650,"2024-07-24"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",1379,43,279,"2024-07-24"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",168021,6615,25730,"2024-07-24"
"@cosmos-kit/vectis","cosmos-kit-wallets",51010,1296,5542,"2024-07-24"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",33543,995,3991,"2024-07-24"
"@cosmos-kit/ninji","cosmos-kit-wallets",6626,93,876,"2024-07-24"
"@cosmos-kit/station-extension","cosmos-kit-wallets",87677,5859,22774,"2024-07-24"
"@cosmos-kit/coin98","cosmos-kit-wallets",36311,918,3883,"2024-07-24"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",208236,7155,28007,"2024-07-24"
"@cosmos-kit/exodus","cosmos-kit-wallets",29340,911,3673,"2024-07-24"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",54491,5124,20485,"2024-07-24"
"@cosmos-kit/leap","cosmos-kit-wallets",200019,6466,25439,"2024-07-24"
"@cosmos-kit/xdefi","cosmos-kit-wallets",93758,5363,20831,"2024-07-24"
"@cosmos-kit/web3auth","cosmos-kit-wallets",20543,86,1312,"2024-07-24"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",3463,78,451,"2024-07-24"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",165408,5905,23086,"2024-07-24"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",31539,913,3677,"2024-07-24"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",156220,5928,23107,"2024-07-24"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",50205,1252,5315,"2024-07-24"
"@cosmos-kit/station","cosmos-kit-wallets",87447,5863,22749,"2024-07-24"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",29915,909,3846,"2024-07-24"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",169260,6554,25347,"2024-07-24"
"@cosmos-kit/initia","cosmos-kit-wallets",3316,79,418,"2024-07-24"
"@cosmos-kit/frontier","cosmos-kit-wallets",38757,923,3920,"2024-07-24"
"@cosmos-kit/trust","cosmos-kit-wallets",65195,5187,20673,"2024-07-24"
"@cosmos-kit/compass","cosmos-kit-wallets",39613,1036,4078,"2024-07-24"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",209520,6935,27297,"2024-07-24"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",219956,7391,29438,"2024-07-24"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",6881,91,882,"2024-07-24"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",45295,1088,4368,"2024-07-24"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",114545,5622,21767,"2024-07-24"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",73916,4750,19246,"2024-07-24"
"@cosmos-kit/omni","cosmos-kit-wallets",45017,1036,4281,"2024-07-24"
"@cosmos-kit/keplr","cosmos-kit-wallets",221756,6753,26924,"2024-07-24"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",46886,1037,4362,"2024-07-24"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",129741,6449,24760,"2024-07-24"
"@cosmwasm/ts-codegen","cosmwasm",552124,13282,63122,"2024-07-24"
"@cosmwasm/ts-codegen-types","cosmwasm",2750,261,1369,"2024-07-24"
"@cosmwasm/ts-codegen-ast","cosmwasm",2767,261,1358,"2024-07-24"
"wasm-ast-types","cosmwasm",546937,13197,61601,"2024-07-24"
"cosmwasm-typescript-gen","cosmwasm",4549,258,313,"2024-07-24"
"@interchain-ui/react","interchain-ui",80708,2323,9911,"2024-07-24"
"@interchain-ui/vue","interchain-ui",5895,51,422,"2024-07-24"
"@cosmology/telescope","telescope",122618,5690,24061,"2024-07-24"
"@cosmology/lcd","telescope",124380,4284,18287,"2024-07-24"
"@cosmology/ast","telescope",121173,5638,23703,"2024-07-24"
"@cosmology/types","telescope",117539,5635,23650,"2024-07-24"
"@cosmology/utils","telescope",117330,5648,23656,"2024-07-24"
"@cosmology/proto-parser","telescope",116907,5636,23573,"2024-07-24"
"@osmonauts/telescope","telescope",245552,3512,16791,"2024-07-24"
"@osmonauts/lcd","telescope",735800,15669,68642,"2024-07-24"
"@osmonauts/ast","telescope",239159,3354,16449,"2024-07-24"
"@osmonauts/utils","telescope",225037,3198,15555,"2024-07-24"
"@osmonauts/types","telescope",250456,3380,16196,"2024-07-24"
"@osmonauts/proto-parser","telescope",252438,3430,16332,"2024-07-24"
"@dydxprotocol/v4-client-js","dydx",36690,1246,5764,"2024-07-24"
"stargazejs","stargaze",14045,156,574,"2024-07-24"
"@stargaze-zone/chain","stargaze",1134,1,99,"2024-07-24"
"@stargaze-zone/contracts","stargaze",1530,1,114,"2024-07-24"
"stargaze-query","stargaze",1427,18,73,"2024-07-24"
"stridejs","stride",23179,620,1568,"2024-07-24"
"quicksilverjs","quicksilver",4320,31,217,"2024-07-24"
"juno-network","juno",18020,236,1437,"2024-07-24"
"@juno-network/assets","juno",3508,28,184,"2024-07-24"
"@osmonauts/math","osmosis",18620,431,2031,"2024-07-24"
"osmojs","osmosis",256916,5181,21546,"2024-07-24"
"osmo-query","osmosis",8025,385,950,"2024-07-24"
"@chain-registry/client","chain-registry",112448,9037,40286,"2024-07-24"
"@chain-registry/types","chain-registry",946260,30358,127754,"2024-07-24"
"@chain-registry/keplr","chain-registry",283997,15777,65402,"2024-07-24"
"@chain-registry/cosmostation","chain-registry",226906,12669,48486,"2024-07-24"
"@chain-registry/osmosis","chain-registry",56264,1157,6322,"2024-07-24"
"@chain-registry/juno","chain-registry",19456,462,2828,"2024-07-24"
"@chain-registry/assets","chain-registry",30784,608,3232,"2024-07-24"
"@chain-registry/utils","chain-registry",238247,10110,47588,"2024-07-24"
"chain-registry","chain-registry",471293,11573,51809,"2024-07-24"
"cosmjs-utils","cosmology",21669,94,550,"2024-07-24"
"@cosmology/cli","cosmology",11486,284,714,"2024-07-24"
"@cosmology/core","cosmology",22716,462,1273,"2024-07-24"
"cosmology","cosmology",11953,470,896,"2024-07-24"
"interchain","cosmology",14384,216,1329,"2024-07-24"
"interchain-query","cosmology",11157,87,509,"2024-07-24"
"create-cosmos-app","cosmology",7921,56,532,"2024-07-24"
"create-cosmwasm-app","cosmology",2645,25,203,"2024-07-24"
"@cosmology-ui/react","cosmology",26257,8,219,"2024-07-24"
"starshipjs","starship",2237,92,331,"2024-07-24"
"@starship-ci/cli","starship",3094,85,302,"2024-07-24"
"@starship-ci/client","starship",3371,84,292,"2024-07-24"
"@launchql/db-templates","launchql",2818,8,92,"2024-07-24"
"@launchql/db-transform","launchql",1293,33,42,"2024-07-24"
"@launchql/ext-achievements","launchql",1591,1,13,"2024-07-24"
"@launchql/ext-jobs-queue","launchql",1712,2,47,"2024-07-24"
"@launchql/ext-jwt-claims","launchql",1693,4,22,"2024-07-24"
"@launchql/ext-types","launchql",1958,3,101,"2024-07-24"
"@launchql/faker","launchql",1600,6,21,"2024-07-24"
"@launchql/inflection","launchql",1867,11,18,"2024-07-24"
"@launchql/totp","launchql",1633,1,9,"2024-07-24"
"@pgql/parse","launchql",69190,14,70,"2024-07-24"
"@pgsql/deparser","launchql",,,,"2024-07-24"
"@pgsql/enums","launchql",751,3,62,"2024-07-24"
"@pgsql/parser","launchql",175,2,10,"2024-07-24"
"@pgsql/types","launchql",124199,17348,70012,"2024-07-24"
"@pgsql/utils","launchql",1013,1,78,"2024-07-24"
"@pyramation/postgraphile-plugin-fulltext-filter","launchql",29643,470,2121,"2024-07-24"
"graphile-column-privileges-mutations","launchql",2642,28,215,"2024-07-24"
"libpg-query","launchql",2987483,55258,223756,"2024-07-24"
"pg-proto-parser","launchql",3954,7,264,"2024-07-24"
"pg-query-native-latest","launchql",396,9,23,"2024-07-24"
"pg-utils","launchql",565,5,16,"2024-07-24"
"pgsql-deparser","launchql",2612092,39726,162901,"2024-07-24"
"pgsql-enums","launchql",2814460,39643,162737,"2024-07-24"
"pgsql-parser","launchql",2619796,39785,163072,"2024-07-24"
"@protobufs/cosmos","protobufs",286479,5335,26562,"2024-07-24"
"@protobufs/google","protobufs",292754,5380,26848,"2024-07-24"
"@protobufs/gogoproto","protobufs",292633,5375,26844,"2024-07-24"
"@protobufs/cosmwasm","protobufs",106014,2103,11140,"2024-07-24"
"@protobufs/tendermint","protobufs",285280,5101,25821,"2024-07-24"
"@protobufs/ibc","protobufs",107321,2109,11209,"2024-07-24"
"@protobufs/cosmos_proto","protobufs",289935,5115,25835,"2024-07-24"
"@protobufs/osmosis","protobufs",11847,108,503,"2024-07-24"
"@protobufs/secret","protobufs",547,42,57,"2024-07-24"
"@protobufs/juno","protobufs",1808,29,69,"2024-07-24"
"@protobufs/akash","protobufs",773,37,75,"2024-07-24"
"@protobufs/regen","protobufs",671,28,57,"2024-07-24"
"@protobufs/pylons","protobufs",503,27,53,"2024-07-24"
"@protobufs/stargaze","protobufs",758,22,59,"2024-07-24"
"@protobufs/bcna","protobufs",597,22,61,"2024-07-24"
"@protobufs/comdex","protobufs",500,11,41,"2024-07-24"
"@protobufs/evmos","protobufs",363,10,33,"2024-07-24"
"@protobufs/axelar","protobufs",334,9,37,"2024-07-24"
"@protobufs/amino","protobufs",109205,2209,11626,"2024-07-24"
"@cosmology/protobufjs","protobufs",218912,7718,34355,"2024-07-24"
"@pyramation/protobufjs","protobufs",223725,3369,15940,"2024-07-24"
"ast-stringify","utils",443735,11157,50753,"2024-07-24"
"nested-obj","utils",3460,262,1407,"2024-07-24"
"strfy-json","utils",,,,"2024-07-24"
"schema-typescript","utils",3962,193,890,"2024-07-24"
"etag-hash","utils",42314,359,2316,"2024-07-24"
"uuid-hash","utils",13671,144,650,"2024-07-24"
"inquirerer","utils",452843,11333,51777,"2024-07-24"
"publish-scripts","utils",13083,144,767,"2024-07-24"
"skitch-template","utils",1226,22,36,"2024-07-24"
