"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",13980,409,1647,"2024-03-30"
"@cosmos-kit/core","cosmos-kit",255733,4126,23136,"2024-03-30"
"@cosmos-kit/react","cosmos-kit",99271,1125,4994,"2024-03-30"
"@cosmos-kit/react-lite","cosmos-kit",90254,1704,7521,"2024-03-30"
"@cosmos-kit/walletconnect","cosmos-kit",153274,2681,14626,"2024-03-30"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",27708,478,2316,"2024-03-30"
"@cosmos-kit/ledger","cosmos-kit-wallets",18582,605,2697,"2024-03-30"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",10755,341,2411,"2024-03-30"
"@cosmos-kit/fin","cosmos-kit-wallets",16150,501,2223,"2024-03-30"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",23150,530,2712,"2024-03-30"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",41417,1230,7214,"2024-03-30"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",33212,537,2498,"2024-03-30"
"@cosmos-kit/shell","cosmos-kit-wallets",18409,478,2440,"2024-03-30"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",272,8,24,"2024-03-30"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",107099,1829,9847,"2024-03-30"
"@cosmos-kit/vectis","cosmos-kit-wallets",37402,644,2783,"2024-03-30"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",19954,536,2381,"2024-03-30"
"@cosmos-kit/ninji","cosmos-kit-wallets",2686,141,752,"2024-03-30"
"@cosmos-kit/station-extension","cosmos-kit-wallets",35905,1327,7536,"2024-03-30"
"@cosmos-kit/coin98","cosmos-kit-wallets",23432,534,2738,"2024-03-30"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",134580,2367,13262,"2024-03-30"
"@cosmos-kit/exodus","cosmos-kit-wallets",17363,461,2229,"2024-03-30"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",23460,478,2140,"2024-03-30"
"@cosmos-kit/leap","cosmos-kit-wallets",136707,2197,12515,"2024-03-30"
"@cosmos-kit/xdefi","cosmos-kit-wallets",46991,1258,7367,"2024-03-30"
"@cosmos-kit/web3auth","cosmos-kit-wallets",16104,162,1161,"2024-03-30"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",1779,79,255,"2024-03-30"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",114085,1688,9303,"2024-03-30"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",18870,483,2456,"2024-03-30"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",100725,1717,9239,"2024-03-30"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",35971,637,2833,"2024-03-30"
"@cosmos-kit/station","cosmos-kit-wallets",35767,1322,7533,"2024-03-30"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",17705,464,2213,"2024-03-30"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",100987,2190,12423,"2024-03-30"
"@cosmos-kit/initia","cosmos-kit-wallets",1702,79,257,"2024-03-30"
"@cosmos-kit/frontier","cosmos-kit-wallets",26305,484,2329,"2024-03-30"
"@cosmos-kit/trust","cosmos-kit-wallets",35154,539,2572,"2024-03-30"
"@cosmos-kit/compass","cosmos-kit-wallets",25979,542,2755,"2024-03-30"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",135462,2534,13624,"2024-03-30"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",141441,2674,14352,"2024-03-30"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",2862,142,745,"2024-03-30"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",30553,744,3309,"2024-03-30"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",64250,1396,7798,"2024-03-30"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",34770,874,5758,"2024-03-30"
"@cosmos-kit/omni","cosmos-kit-wallets",31786,576,2561,"2024-03-30"
"@cosmos-kit/keplr","cosmos-kit-wallets",156934,2442,13595,"2024-03-30"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",33480,599,2623,"2024-03-30"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",61633,2145,12153,"2024-03-30"
"@cosmwasm/ts-codegen","cosmwasm",268280,8983,30877,"2024-03-30"
"@interchain-ui/react","interchain-ui",48462,1280,5713,"2024-03-30"
"@cosmology/telescope","telescope",49721,1953,10091,"2024-03-30"
"@cosmology/lcd","telescope",45740,2407,9122,"2024-03-30"
"@cosmology/ast","telescope",48750,1820,9793,"2024-03-30"
"@osmonauts/telescope","telescope",196545,5195,14165,"2024-03-30"
"@osmonauts/lcd","telescope",498633,14247,50012,"2024-03-30"
"@osmonauts/ast","telescope",188751,5201,14202,"2024-03-30"
"@dydxprotocol/v4-client-js","dydx",15127,1168,4433,"2024-03-30"
"stargazejs","stargaze",12872,12,175,"2024-03-30"
"@stargaze-zone/chain","stargaze",1586,0,7,"2024-03-30"
"@stargaze-zone/contracts","stargaze",2033,0,5,"2024-03-30"
"stargaze-query","stargaze",903,19,92,"2024-03-30"
"stridejs","stride",18642,367,1727,"2024-03-30"
"quicksilverjs","quicksilver",4372,104,791,"2024-03-30"
"juno-network","juno",15505,167,761,"2024-03-30"
"@juno-network/assets","juno",4490,1,50,"2024-03-30"
"@osmonauts/math","osmosis",12163,190,1071,"2024-03-30"
"osmojs","osmosis",184263,3619,15465,"2024-03-30"
"@chain-registry/client","chain-registry",26702,2273,9375,"2024-03-30"
"@chain-registry/types","chain-registry",616413,13507,65583,"2024-03-30"
"@chain-registry/keplr","chain-registry",157832,2939,16143,"2024-03-30"
"@chain-registry/cosmostation","chain-registry",110738,3330,14875,"2024-03-30"
"@chain-registry/osmosis","chain-registry",37518,576,3442,"2024-03-30"
"@chain-registry/juno","chain-registry",10037,259,1155,"2024-03-30"
"@chain-registry/assets","chain-registry",26083,384,1605,"2024-03-30"
"@chain-registry/utils","chain-registry",123859,3612,17618,"2024-03-30"
"chain-registry","chain-registry",321437,6710,34764,"2024-03-30"
