"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",14165,357,172,"2024-04-04"
"@cosmos-kit/core","cosmos-kit",258890,5190,3434,"2024-04-04"
"@cosmos-kit/react","cosmos-kit",99514,1033,552,"2024-04-04"
"@cosmos-kit/react-lite","cosmos-kit",91356,1710,1014,"2024-04-04"
"@cosmos-kit/walletconnect","cosmos-kit",155544,3204,2118,"2024-04-04"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",27997,478,273,"2024-04-04"
"@cosmos-kit/ledger","cosmos-kit-wallets",18926,568,316,"2024-04-04"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",11069,470,302,"2024-04-04"
"@cosmos-kit/fin","cosmos-kit-wallets",16622,655,449,"2024-04-04"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",23475,529,306,"2024-04-04"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",42508,1488,1027,"2024-04-04"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",33554,541,305,"2024-04-04"
"@cosmos-kit/shell","cosmos-kit-wallets",18711,475,285,"2024-04-04"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",326,57,54,"2024-04-04"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",108599,2140,1365,"2024-04-04"
"@cosmos-kit/vectis","cosmos-kit-wallets",37787,622,348,"2024-04-04"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",20468,714,486,"2024-04-04"
"@cosmos-kit/ninji","cosmos-kit-wallets",2877,244,179,"2024-04-04"
"@cosmos-kit/station-extension","cosmos-kit-wallets",37095,1629,1128,"2024-04-04"
"@cosmos-kit/coin98","cosmos-kit-wallets",23758,531,308,"2024-04-04"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",136618,2897,1911,"2024-04-04"
"@cosmos-kit/exodus","cosmos-kit-wallets",17650,464,271,"2024-04-04"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",23768,496,279,"2024-04-04"
"@cosmos-kit/leap","cosmos-kit-wallets",138650,2706,1806,"2024-04-04"
"@cosmos-kit/xdefi","cosmos-kit-wallets",48094,1535,1042,"2024-04-04"
"@cosmos-kit/web3auth","cosmos-kit-wallets",16264,255,157,"2024-04-04"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",1815,66,34,"2024-04-04"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",115483,1968,1296,"2024-04-04"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",19177,483,288,"2024-04-04"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",102159,2025,1305,"2024-04-04"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",36367,621,364,"2024-04-04"
"@cosmos-kit/station","cosmos-kit-wallets",36951,1620,1123,"2024-04-04"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",17993,466,272,"2024-04-04"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",102932,2710,1811,"2024-04-04"
"@cosmos-kit/initia","cosmos-kit-wallets",1737,60,33,"2024-04-04"
"@cosmos-kit/frontier","cosmos-kit-wallets",26600,485,278,"2024-04-04"
"@cosmos-kit/trust","cosmos-kit-wallets",35506,563,307,"2024-04-04"
"@cosmos-kit/compass","cosmos-kit-wallets",26338,557,336,"2024-04-04"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",137627,3023,2037,"2024-04-04"
