"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",35951,570,2988,"2024-11-05"
"@cosmos-kit/core","cosmos-kit",494614,11494,48743,"2024-11-05"
"@cosmos-kit/react","cosmos-kit",143685,2380,10465,"2024-11-05"
"@cosmos-kit/react-lite","cosmos-kit",170377,2667,12588,"2024-11-05"
"@cosmos-kit/walletconnect","cosmos-kit",346998,10060,42459,"2024-11-05"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",52635,787,3771,"2024-11-05"
"@cosmos-kit/ledger","cosmos-kit-wallets",48885,1061,5064,"2024-11-05"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",26818,375,1485,"2024-11-05"
"@cosmos-kit/fin","cosmos-kit-wallets",43294,737,3700,"2024-11-05"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",50422,753,3776,"2024-11-05"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",183285,9005,35950,"2024-11-05"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",149056,8575,34335,"2024-11-05"
"@cosmos-kit/shell","cosmos-kit-wallets",45293,725,3675,"2024-11-05"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",3216,279,1332,"2024-11-05"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",267406,9808,39610,"2024-11-05"
"@cosmos-kit/vectis","cosmos-kit-wallets",67739,1316,5559,"2024-11-05"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",48540,775,3933,"2024-11-05"
"@cosmos-kit/ninji","cosmos-kit-wallets",9007,149,799,"2024-11-05"
"@cosmos-kit/station-extension","cosmos-kit-wallets",183483,9136,36640,"2024-11-05"
"@cosmos-kit/coin98","cosmos-kit-wallets",50625,758,3757,"2024-11-05"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",315327,10240,42408,"2024-11-05"
"@cosmos-kit/exodus","cosmos-kit-wallets",43506,728,3605,"2024-11-05"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",139208,8550,34225,"2024-11-05"
"@cosmos-kit/leap","cosmos-kit-wallets",296554,9658,39907,"2024-11-05"
