"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",20111,503,2448,"2024-06-16"
"@cosmos-kit/core","cosmos-kit",324501,5411,27040,"2024-06-16"
"@cosmos-kit/react","cosmos-kit",111642,1729,6957,"2024-06-16"
"@cosmos-kit/react-lite","cosmos-kit",114469,2442,9903,"2024-06-16"
"@cosmos-kit/walletconnect","cosmos-kit",200565,3541,17676,"2024-06-16"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",35617,721,3284,"2024-06-16"
"@cosmos-kit/ledger","cosmos-kit-wallets",27528,638,3415,"2024-06-16"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",18661,302,2473,"2024-06-16"
"@cosmos-kit/fin","cosmos-kit-wallets",24273,580,3206,"2024-06-16"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",31420,624,3402,"2024-06-16"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",65187,1539,8906,"2024-06-16"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",42534,1059,3977,"2024-06-16"
"@cosmos-kit/shell","cosmos-kit-wallets",26626,574,3166,"2024-06-16"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",942,22,207,"2024-06-16"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",139858,2374,11996,"2024-06-16"
"@cosmos-kit/vectis","cosmos-kit-wallets",45288,636,3421,"2024-06-16"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",28631,603,3310,"2024-06-16"
"@cosmos-kit/ninji","cosmos-kit-wallets",5341,166,1070,"2024-06-16"
"@cosmos-kit/station-extension","cosmos-kit-wallets",62434,1694,9486,"2024-06-16"
"@cosmos-kit/coin98","cosmos-kit-wallets",31597,633,3276,"2024-06-16"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",177317,2908,15045,"2024-06-16"
"@cosmos-kit/exodus","cosmos-kit-wallets",24933,586,3127,"2024-06-16"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",32513,1004,3892,"2024-06-16"
"@cosmos-kit/leap","cosmos-kit-wallets",174120,2391,13948,"2024-06-16"
"@cosmos-kit/xdefi","cosmos-kit-wallets",70855,1565,8839,"2024-06-16"
"@cosmos-kit/web3auth","cosmos-kit-wallets",18778,172,1014,"2024-06-16"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",2855,72,327,"2024-06-16"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",142096,2002,10923,"2024-06-16"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",27087,561,3138,"2024-06-16"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",131166,1988,10936,"2024-06-16"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",44583,631,3387,"2024-06-16"
"@cosmos-kit/station","cosmos-kit-wallets",62210,1700,9461,"2024-06-16"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",25335,559,3148,"2024-06-16"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",140803,2536,14069,"2024-06-16"
"@cosmos-kit/initia","cosmos-kit-wallets",2746,71,318,"2024-06-16"
"@cosmos-kit/frontier","cosmos-kit-wallets",34102,592,3168,"2024-06-16"
"@cosmos-kit/trust","cosmos-kit-wallets",43248,933,3508,"2024-06-16"
"@cosmos-kit/compass","cosmos-kit-wallets",34668,646,3391,"2024-06-16"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",179411,2984,16198,"2024-06-16"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",187389,3152,16810,"2024-06-16"
