"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",23374,749,2963,"2024-07-21"
"@cosmos-kit/core","cosmos-kit",374354,10485,49426,"2024-07-21"
"@cosmos-kit/react","cosmos-kit",118918,1885,9004,"2024-07-21"
"@cosmos-kit/react-lite","cosmos-kit",128124,2604,11597,"2024-07-21"
"@cosmos-kit/walletconnect","cosmos-kit",235632,7944,31692,"2024-07-21"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",39976,803,3846,"2024-07-21"
"@cosmos-kit/ledger","cosmos-kit-wallets",31988,875,3852,"2024-07-21"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",21746,530,2694,"2024-07-21"
"@cosmos-kit/fin","cosmos-kit-wallets",28407,811,3615,"2024-07-21"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",35722,816,3777,"2024-07-21"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",86855,6159,20329,"2024-07-21"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",62505,5715,19248,"2024-07-21"
"@cosmos-kit/shell","cosmos-kit-wallets",30690,794,3534,"2024-07-21"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",1360,50,276,"2024-07-21"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",165144,6938,23833,"2024-07-21"
"@cosmos-kit/vectis","cosmos-kit-wallets",50507,1178,5320,"2024-07-21"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",33124,865,3842,"2024-07-21"
"@cosmos-kit/ninji","cosmos-kit-wallets",6573,79,979,"2024-07-21"
"@cosmos-kit/station-extension","cosmos-kit-wallets",85069,6295,21057,"2024-07-21"
"@cosmos-kit/coin98","cosmos-kit-wallets",35940,817,3793,"2024-07-21"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",205138,7467,25949,"2024-07-21"
"@cosmos-kit/exodus","cosmos-kit-wallets",28969,797,3544,"2024-07-21"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",52199,5623,18994,"2024-07-21"
"@cosmos-kit/leap","cosmos-kit-wallets",197253,6789,23519,"2024-07-21"
