"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",24462,490,3019,"2024-08-02"
"@cosmos-kit/core","cosmos-kit",389515,8506,47066,"2024-08-02"
"@cosmos-kit/react","cosmos-kit",121009,1264,9065,"2024-08-02"
"@cosmos-kit/react-lite","cosmos-kit",132415,1799,11677,"2024-08-02"
"@cosmos-kit/walletconnect","cosmos-kit",249285,7597,35191,"2024-08-02"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",41294,607,3891,"2024-08-02"
"@cosmos-kit/ledger","cosmos-kit-wallets",33408,651,3860,"2024-08-02"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",22494,331,2323,"2024-08-02"
"@cosmos-kit/fin","cosmos-kit-wallets",29760,624,3658,"2024-08-02"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",37047,614,3745,"2024-08-02"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",98203,6748,27016,"2024-08-02"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",73187,6527,25536,"2024-08-02"
"@cosmos-kit/shell","cosmos-kit-wallets",32023,617,3571,"2024-08-02"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",1407,12,147,"2024-08-02"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",177612,7316,30505,"2024-08-02"
"@cosmos-kit/vectis","cosmos-kit-wallets",52375,875,5698,"2024-08-02"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",34561,654,3851,"2024-08-02"
"@cosmos-kit/ninji","cosmos-kit-wallets",6826,137,699,"2024-08-02"
"@cosmos-kit/station-extension","cosmos-kit-wallets",96748,6886,27804,"2024-08-02"
"@cosmos-kit/coin98","cosmos-kit-wallets",37269,615,3743,"2024-08-02"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",218431,7606,32655,"2024-08-02"
"@cosmos-kit/exodus","cosmos-kit-wallets",30277,605,3567,"2024-08-02"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",62810,6504,25301,"2024-08-02"
"@cosmos-kit/leap","cosmos-kit-wallets",209031,7216,30132,"2024-08-02"
"@cosmos-kit/xdefi","cosmos-kit-wallets",102400,6644,25844,"2024-08-02"
"@cosmos-kit/web3auth","cosmos-kit-wallets",20745,133,1131,"2024-08-02"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",3521,34,255,"2024-08-02"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",173778,6889,27816,"2024-08-02"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",32496,615,3576,"2024-08-02"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",165121,6935,27822,"2024-08-02"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",51535,847,5410,"2024-08-02"
"@cosmos-kit/station","cosmos-kit-wallets",96561,6899,27860,"2024-08-02"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",30851,604,3728,"2024-08-02"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",178973,7265,29997,"2024-08-02"
"@cosmos-kit/initia","cosmos-kit-wallets",3372,33,247,"2024-08-02"
"@cosmos-kit/frontier","cosmos-kit-wallets",39695,605,3825,"2024-08-02"
"@cosmos-kit/trust","cosmos-kit-wallets",73494,6512,25510,"2024-08-02"
"@cosmos-kit/compass","cosmos-kit-wallets",40655,684,3997,"2024-08-02"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",219333,7401,31605,"2024-08-02"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",230325,7693,33817,"2024-08-02"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",7083,139,694,"2024-08-02"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",46396,718,4223,"2024-08-02"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",123274,6707,26606,"2024-08-02"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",82056,6264,24291,"2024-08-02"
"@cosmos-kit/omni","cosmos-kit-wallets",46023,675,4184,"2024-08-02"
"@cosmos-kit/keplr","cosmos-kit-wallets",230729,7283,31254,"2024-08-02"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",47909,693,4227,"2024-08-02"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",139366,7195,29448,"2024-08-02"
"@cosmwasm/ts-codegen","cosmwasm",570012,13972,56052,"2024-08-02"
"@cosmwasm/ts-codegen-types","cosmwasm",4238,1186,2343,"2024-08-02"
"@cosmwasm/ts-codegen-ast","cosmwasm",4258,1188,2350,"2024-08-02"
"wasm-ast-types","cosmwasm",563372,12661,53502,"2024-08-02"
"cosmwasm-typescript-gen","cosmwasm",4491,15,331,"2024-08-02"
"@interchain-ui/react","interchain-ui",83130,1437,9606,"2024-08-02"
"@interchain-ui/vue","interchain-ui",5917,13,341,"2024-08-02"
"@cosmology/telescope","telescope",131821,7077,28006,"2024-08-02"
"@cosmology/lcd","telescope",129294,3268,17213,"2024-08-02"
"@cosmology/ast","telescope",130295,7015,27713,"2024-08-02"
"@cosmology/types","telescope",126650,7004,27659,"2024-08-02"
"@cosmology/utils","telescope",126450,7011,27683,"2024-08-02"
"@cosmology/proto-parser","telescope",126018,7005,27608,"2024-08-02"
"@osmonauts/telescope","telescope",247815,1875,13361,"2024-08-02"
"@osmonauts/lcd","telescope",751429,11425,63843,"2024-08-02"
"@osmonauts/ast","telescope",241650,1888,13016,"2024-08-02"
"@osmonauts/utils","telescope",227666,1876,12126,"2024-08-02"
"@osmonauts/types","telescope",253168,2042,12941,"2024-08-02"
"@osmonauts/proto-parser","telescope",255062,1889,12920,"2024-08-02"
"@dydxprotocol/v4-client-js","dydx",38374,934,5127,"2024-08-02"
"stargazejs","stargaze",14057,29,500,"2024-08-02"
"@stargaze-zone/chain","stargaze",1109,0,89,"2024-08-02"
"@stargaze-zone/contracts","stargaze",1510,2,105,"2024-08-02"
"stargaze-query","stargaze",1435,6,53,"2024-08-02"
"stridejs","stride",22857,307,1740,"2024-08-02"
"quicksilverjs","quicksilver",4303,7,99,"2024-08-02"
"juno-network","juno",18118,159,1241,"2024-08-02"
"@juno-network/assets","juno",3488,1,179,"2024-08-02"
"@osmonauts/math","osmosis",19041,255,1774,"2024-08-02"
"osmojs","osmosis",261575,3688,20389,"2024-08-02"
"osmo-query","osmosis",8353,212,1082,"2024-08-02"
"@chain-registry/client","chain-registry",125015,9142,42051,"2024-08-02"
"@chain-registry/types","chain-registry",984809,29735,135611,"2024-08-02"
"@chain-registry/keplr","chain-registry",305749,16226,72452,"2024-08-02"
"@chain-registry/cosmostation","chain-registry",245554,14495,58169,"2024-08-02"
"@chain-registry/osmosis","chain-registry",57414,936,5464,"2024-08-02"
"@chain-registry/juno","chain-registry",20045,459,2500,"2024-08-02"
"@chain-registry/assets","chain-registry",31039,553,2872,"2024-08-02"
"@chain-registry/utils","chain-registry",251212,9767,47253,"2024-08-02"
"chain-registry","chain-registry",485610,11637,52148,"2024-08-02"
"cosmjs-utils","cosmology",21709,123,541,"2024-08-02"
"@cosmology/cli","cosmology",11141,34,740,"2024-08-02"
"@cosmology/core","cosmology",22475,175,1349,"2024-08-02"
"cosmology","cosmology",11545,35,923,"2024-08-02"
"interchain","cosmology",14476,165,1170,"2024-08-02"
"interchain-query","cosmology",11310,131,515,"2024-08-02"
"create-cosmos-app","cosmology",7823,31,445,"2024-08-02"
"create-cosmwasm-app","cosmology",2594,3,203,"2024-08-02"
"@cosmology-ui/react","cosmology",26204,19,198,"2024-08-02"
"starshipjs","starship",2389,104,357,"2024-08-02"
"@starship-ci/cli","starship",3166,46,211,"2024-08-02"
"@starship-ci/client","starship",3415,31,177,"2024-08-02"
"@launchql/db-templates","launchql",3182,372,461,"2024-08-02"
"@launchql/db-transform","launchql",1446,158,199,"2024-08-02"
"@launchql/ext-achievements","launchql",1788,206,217,"2024-08-02"
"@launchql/ext-jobs-queue","launchql",1920,211,260,"2024-08-02"
"@launchql/ext-jwt-claims","launchql",1883,202,218,"2024-08-02"
"@launchql/ext-types","launchql",2207,249,318,"2024-08-02"
"@launchql/faker","launchql",1809,213,229,"2024-08-02"
"@launchql/inflection","launchql",2090,224,242,"2024-08-02"
"@launchql/totp","launchql",1849,224,230,"2024-08-02"
"@pgql/parse","launchql",68188,46,99,"2024-08-02"
"@pgsql/deparser","launchql",,,,"2024-08-02"
"@pgsql/enums","launchql",755,4,15,"2024-08-02"
"@pgsql/parser","launchql",179,2,8,"2024-08-02"
"@pgsql/types","launchql",141356,10758,70738,"2024-08-02"
"@pgsql/utils","launchql",1021,3,14,"2024-08-02"
"@pyramation/postgraphile-plugin-fulltext-filter","launchql",30294,741,2362,"2024-08-02"
"graphile-column-privileges-mutations","launchql",2676,72,200,"2024-08-02"
"libpg-query","launchql",3023164,37021,215455,"2024-08-02"
"pg-proto-parser","launchql",3961,6,30,"2024-08-02"
"pg-query-native-latest","launchql",396,11,32,"2024-08-02"
"pg-utils","launchql",560,2,14,"2024-08-02"
"pgsql-deparser","launchql",2644203,28677,155116,"2024-08-02"
"pgsql-enums","launchql",2839630,28534,154838,"2024-08-02"
"pgsql-parser","launchql",2652031,28827,155413,"2024-08-02"
"@protobufs/cosmos","protobufs",291794,4109,19080,"2024-08-02"
"@protobufs/google","protobufs",298134,4040,19501,"2024-08-02"
"@protobufs/gogoproto","protobufs",298018,4043,19501,"2024-08-02"
"@protobufs/cosmwasm","protobufs",108838,2184,7073,"2024-08-02"
"@protobufs/tendermint","protobufs",290343,3895,18330,"2024-08-02"
"@protobufs/ibc","protobufs",110160,2189,7147,"2024-08-02"
"@protobufs/cosmos_proto","protobufs",294991,3895,18340,"2024-08-02"
"@protobufs/osmosis","protobufs",11361,73,443,"2024-08-02"
"@protobufs/secret","protobufs",513,1,58,"2024-08-02"
"@protobufs/juno","protobufs",1784,12,76,"2024-08-02"
"@protobufs/akash","protobufs",739,1,73,"2024-08-02"
"@protobufs/regen","protobufs",642,1,54,"2024-08-02"
"@protobufs/pylons","protobufs",478,2,55,"2024-08-02"
"@protobufs/stargaze","protobufs",732,1,56,"2024-08-02"
"@protobufs/bcna","protobufs",571,2,55,"2024-08-02"
"@protobufs/comdex","protobufs",479,1,39,"2024-08-02"
"@protobufs/evmos","protobufs",349,0,32,"2024-08-02"
"@protobufs/axelar","protobufs",318,0,35,"2024-08-02"
"@protobufs/amino","protobufs",112146,2200,7461,"2024-08-02"
"@cosmology/protobufjs","protobufs",230892,9160,34502,"2024-08-02"
"@pyramation/protobufjs","protobufs",226508,2007,12598,"2024-08-02"
"ast-stringify","utils",458525,11527,47844,"2024-08-02"
"nested-obj","utils",4948,1187,2361,"2024-08-02"
"strfy-json","utils",,,,"2024-08-02"
"schema-typescript","utils",4264,254,901,"2024-08-02"
"etag-hash","utils",42767,342,2074,"2024-08-02"
"uuid-hash","utils",13643,196,699,"2024-08-02"
"inquirerer","utils",467840,11826,48856,"2024-08-02"
"publish-scripts","utils",13196,60,691,"2024-08-02"
"skitch-template","utils",1229,14,47,"2024-08-02"
