"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",42481,966,4181,"2024-12-22"
"@cosmos-kit/core","cosmos-kit",632513,19198,112764,"2024-12-22"
"@cosmos-kit/react","cosmos-kit",150088,1905,9049,"2024-12-22"
"@cosmos-kit/react-lite","cosmos-kit",181473,2461,11051,"2024-12-22"
"@cosmos-kit/walletconnect","cosmos-kit",462781,13627,89816,"2024-12-22"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",57749,993,4428,"2024-12-22"
"@cosmos-kit/ledger","cosmos-kit-wallets",57913,1205,5558,"2024-12-22"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",30099,805,2320,"2024-12-22"
"@cosmos-kit/fin","cosmos-kit-wallets",50336,969,4432,"2024-12-22"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",56062,1019,4434,"2024-12-22"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",297374,12042,82833,"2024-12-22"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",261028,12257,83144,"2024-12-22"
"@cosmos-kit/shell","cosmos-kit-wallets",52231,954,4361,"2024-12-22"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",4924,97,911,"2024-12-22"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",381129,12874,86097,"2024-12-22"
"@cosmos-kit/vectis","cosmos-kit-wallets",72375,978,4415,"2024-12-22"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",55672,986,4441,"2024-12-22"
"@cosmos-kit/ninji","cosmos-kit-wallets",9618,153,365,"2024-12-22"
"@cosmos-kit/station-extension","cosmos-kit-wallets",297097,12313,83408,"2024-12-22"
"@cosmos-kit/coin98","cosmos-kit-wallets",56304,975,4396,"2024-12-22"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",429863,13535,88501,"2024-12-22"
"@cosmos-kit/exodus","cosmos-kit-wallets",50188,991,4395,"2024-12-22"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",251171,12153,82928,"2024-12-22"
"@cosmos-kit/leap","cosmos-kit-wallets",409223,13270,88461,"2024-12-22"
"@cosmos-kit/xdefi","cosmos-kit-wallets",296406,11943,83288,"2024-12-22"
"@cosmos-kit/web3auth","cosmos-kit-wallets",24324,437,1366,"2024-12-22"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",4960,94,116,"2024-12-22"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",362492,12539,85562,"2024-12-22"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",52787,1005,4427,"2024-12-22"
