"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",20249,482,2389,"2024-06-19"
"@cosmos-kit/core","cosmos-kit",326622,5682,26504,"2024-06-19"
"@cosmos-kit/react","cosmos-kit",112115,1651,7178,"2024-06-19"
"@cosmos-kit/react-lite","cosmos-kit",115495,2320,10254,"2024-06-19"
"@cosmos-kit/walletconnect","cosmos-kit",202163,3832,17513,"2024-06-19"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",35821,553,3271,"2024-06-19"
"@cosmos-kit/ledger","cosmos-kit-wallets",27789,670,3442,"2024-06-19"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",18843,327,2520,"2024-06-19"
"@cosmos-kit/fin","cosmos-kit-wallets",24498,590,3208,"2024-06-19"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",31647,605,3402,"2024-06-19"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",65750,1610,8331,"2024-06-19"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",43002,1238,4122,"2024-06-19"
"@cosmos-kit/shell","cosmos-kit-wallets",26847,575,3131,"2024-06-19"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",981,52,244,"2024-06-19"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",140820,2417,11592,"2024-06-19"
"@cosmos-kit/vectis","cosmos-kit-wallets",45434,637,3408,"2024-06-19"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",28950,687,3377,"2024-06-19"
"@cosmos-kit/ninji","cosmos-kit-wallets",5441,186,1143,"2024-06-19"
"@cosmos-kit/station-extension","cosmos-kit-wallets",63180,1850,9010,"2024-06-19"
"@cosmos-kit/coin98","cosmos-kit-wallets",31815,605,3264,"2024-06-19"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",178521,2971,14687,"2024-06-19"
"@cosmos-kit/exodus","cosmos-kit-wallets",25138,554,3112,"2024-06-19"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",32987,1186,4043,"2024-06-19"
"@cosmos-kit/leap","cosmos-kit-wallets",174892,2485,13450,"2024-06-19"
"@cosmos-kit/xdefi","cosmos-kit-wallets",71388,1565,8257,"2024-06-19"
"@cosmos-kit/web3auth","cosmos-kit-wallets",18902,213,1107,"2024-06-19"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",2911,89,361,"2024-06-19"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",142736,2119,10392,"2024-06-19"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",27301,562,3121,"2024-06-19"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",131978,2091,10422,"2024-06-19"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",44817,626,3350,"2024-06-19"
"@cosmos-kit/station","cosmos-kit-wallets",62970,1869,8999,"2024-06-19"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",25541,552,3136,"2024-06-19"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",141858,2614,13634,"2024-06-19"
"@cosmos-kit/initia","cosmos-kit-wallets",2798,82,349,"2024-06-19"
"@cosmos-kit/frontier","cosmos-kit-wallets",34312,562,3116,"2024-06-19"
"@cosmos-kit/trust","cosmos-kit-wallets",43626,1185,3750,"2024-06-19"
"@cosmos-kit/compass","cosmos-kit-wallets",34930,651,3410,"2024-06-19"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",180677,3131,15829,"2024-06-19"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",188776,3306,16542,"2024-06-19"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",5688,192,1182,"2024-06-19"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",40274,678,3530,"2024-06-19"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",91138,1704,8868,"2024-06-19"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",53362,1203,6113,"2024-06-19"
"@cosmos-kit/omni","cosmos-kit-wallets",40559,612,3342,"2024-06-19"
"@cosmos-kit/keplr","cosmos-kit-wallets",196174,3036,15727,"2024-06-19"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",42391,614,3452,"2024-06-19"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",102915,2574,13735,"2024-06-19"
"@cosmwasm/ts-codegen","cosmwasm",479468,16377,65866,"2024-06-19"
"@cosmwasm/ts-codegen-types","cosmwasm",1035,244,633,"2024-06-19"
