"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",597,3,29,"2025-03-07"
"@hyperweb/cli","hyperwebjs",121,0,12,"2025-03-07"
"hyperwebjs","hyperwebjs",1132,44,521,"2025-03-07"
"hyperweb-kit","hyperwebjs",122,1,13,"2025-03-07"
"@hyperweb/build","hyperwebjs",536,27,323,"2025-03-07"
"@hyperweb/ts-json-schema","hyperwebjs",250,1,145,"2025-03-07"
"interchainjs","interchain-js",13561,210,2381,"2025-03-07"
"injectivejs","interchain-js",7075,132,952,"2025-03-07"
"@interchainjs/utils","interchain-js",14896,376,3800,"2025-03-07"
"@interchainjs/types","interchain-js",15251,379,3902,"2025-03-07"
"@interchainjs/auth","interchain-js",13225,279,3011,"2025-03-07"
"@interchainjs/cosmos","interchain-js",14208,243,3046,"2025-03-07"
"@interchainjs/cosmos-msgs","interchain-js",380,0,3,"2025-03-07"
"@interchainjs/cosmos-query","interchain-js",375,0,4,"2025-03-07"
"@interchainjs/ethereum","interchain-js",6554,139,1294,"2025-03-07"
"@interchainjs/injective","interchain-js",7341,155,1487,"2025-03-07"
"@interchainjs/cosmos-types","interchain-js",16425,336,3636,"2025-03-07"
"@interchainjs/ethermint","interchain-js",760,3,10,"2025-03-07"
"injective-query","interchain-js",91,0,2,"2025-03-07"
"injective-react","interchain-js",2243,105,774,"2025-03-07"
"injective-vue","interchain-js",1948,88,721,"2025-03-07"
"interchain-react","interchain-js",967,6,42,"2025-03-07"
"interchain-kit","cosmos-kit",5726,60,909,"2025-03-07"
"@interchain-kit/core","cosmos-kit",11816,74,2139,"2025-03-07"
"@interchain-kit/react","cosmos-kit",5643,65,1030,"2025-03-07"
"@interchain-kit/vue","cosmos-kit",1693,6,309,"2025-03-07"
"cosmos-kit","cosmos-kit",50793,1024,4757,"2025-03-07"
"@cosmos-kit/core","cosmos-kit",703797,9755,36792,"2025-03-07"
"@cosmos-kit/react","cosmos-kit",152334,3371,11779,"2025-03-07"
"@cosmos-kit/react-lite","cosmos-kit",186311,3510,12747,"2025-03-07"
"@cosmos-kit/walletconnect","cosmos-kit",523952,8886,34018,"2025-03-07"
"create-cosmos-app","create-cosmos-app",5736,10,80,"2025-03-07"
"create-interchain-app","create-cosmos-app",1169,8,41,"2025-03-07"
"@interchain-kit/okx-extension","interchain-kit-wallets",5335,54,896,"2025-03-07"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4441,11,755,"2025-03-07"
"@interchain-kit/leap-extension","interchain-kit-wallets",5434,72,1054,"2025-03-07"
"@interchain-kit/ledger","interchain-kit-wallets",5178,57,873,"2025-03-07"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5214,52,887,"2025-03-07"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5193,47,892,"2025-03-07"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5155,53,913,"2025-03-07"
"@interchain-kit/keplr-extension","interchain-kit-wallets",5627,72,1053,"2025-03-07"
"@interchain-kit/frontier-extension","interchain-kit-wallets",3641,39,780,"2025-03-07"
"@interchain-kit/station-extension","interchain-kit-wallets",3632,44,773,"2025-03-07"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",3616,38,767,"2025-03-07"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",3687,43,818,"2025-03-07"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",2627,69,766,"2025-03-07"
"@interchain-kit/trust-extension","interchain-kit-wallets",2412,32,730,"2025-03-07"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",2537,98,806,"2025-03-07"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1421,8,457,"2025-03-07"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58699,537,2135,"2025-03-07"
"@cosmos-kit/ledger","cosmos-kit-wallets",66152,1318,5388,"2025-03-07"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",40565,1711,5906,"2025-03-07"
"@cosmos-kit/fin","cosmos-kit-wallets",59475,1749,6373,"2025-03-07"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",62417,1181,4898,"2025-03-07"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",369174,6300,25133,"2025-03-07"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",329401,5799,24031,"2025-03-07"
"@cosmos-kit/shell","cosmos-kit-wallets",58935,1082,4690,"2025-03-07"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5608,20,181,"2025-03-07"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",437877,6630,26800,"2025-03-07"
"@cosmos-kit/vectis","cosmos-kit-wallets",71712,638,2353,"2025-03-07"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",64361,1673,6300,"2025-03-07"
"@cosmos-kit/ninji","cosmos-kit-wallets",10959,87,429,"2025-03-07"
"@cosmos-kit/station-extension","cosmos-kit-wallets",362151,5233,21061,"2025-03-07"
"@cosmos-kit/coin98","cosmos-kit-wallets",62769,1185,4905,"2025-03-07"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",489327,7996,31310,"2025-03-07"
"@cosmos-kit/exodus","cosmos-kit-wallets",56916,1185,4482,"2025-03-07"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",320094,6040,23963,"2025-03-07"
"@cosmos-kit/leap","cosmos-kit-wallets",468528,7811,30945,"2025-03-07"
"@cosmos-kit/xdefi","cosmos-kit-wallets",360772,5251,21591,"2025-03-07"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25023,602,2670,"2025-03-07"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5581,40,135,"2025-03-07"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",417144,6331,25869,"2025-03-07"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",59432,1091,4715,"2025-03-07"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",413116,6251,25475,"2025-03-07"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",70754,620,2307,"2025-03-07"
"@cosmos-kit/station","cosmos-kit-wallets",361619,5180,20968,"2025-03-07"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",58116,1195,4843,"2025-03-07"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",459991,7499,30059,"2025-03-07"
"@cosmos-kit/initia","cosmos-kit-wallets",5203,12,43,"2025-03-07"
"@cosmos-kit/frontier","cosmos-kit-wallets",57639,534,2130,"2025-03-07"
"@cosmos-kit/trust","cosmos-kit-wallets",328459,5782,23944,"2025-03-07"
"@cosmos-kit/compass","cosmos-kit-wallets",64840,1179,5039,"2025-03-07"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",484764,8267,32215,"2025-03-07"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",506531,8568,32824,"2025-03-07"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",11809,99,459,"2025-03-07"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",70662,1277,5336,"2025-03-07"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",377324,5424,22017,"2025-03-07"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",327343,5246,20866,"2025-03-07"
"@cosmos-kit/omni","cosmos-kit-wallets",66521,1408,5302,"2025-03-07"
"@cosmos-kit/keplr","cosmos-kit-wallets",484663,8341,32209,"2025-03-07"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",68297,1234,5156,"2025-03-07"
