"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",20952,532,2256,"2024-06-28"
"@cosmos-kit/core","cosmos-kit",340714,12096,30848,"2024-06-28"
"@cosmos-kit/react","cosmos-kit",113877,1740,7524,"2024-06-28"
"@cosmos-kit/react-lite","cosmos-kit",119059,2532,10847,"2024-06-28"
"@cosmos-kit/walletconnect","cosmos-kit",210726,6786,19146,"2024-06-28"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",36925,795,3335,"2024-06-28"
"@cosmos-kit/ledger","cosmos-kit-wallets",29004,868,3516,"2024-06-28"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",19723,671,2237,"2024-06-28"
"@cosmos-kit/fin","cosmos-kit-wallets",25596,804,3245,"2024-06-28"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",32752,807,3455,"2024-06-28"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",69635,3109,8689,"2024-06-28"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",46747,3039,6650,"2024-06-28"
"@cosmos-kit/shell","cosmos-kit-wallets",27979,823,3259,"2024-06-28"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",1162,78,332,"2024-06-28"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",145812,3863,12128,"2024-06-28"
"@cosmos-kit/vectis","cosmos-kit-wallets",46678,957,3601,"2024-06-28"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",30157,875,3493,"2024-06-28"
"@cosmos-kit/ninji","cosmos-kit-wallets",5948,354,1345,"2024-06-28"
"@cosmos-kit/station-extension","cosmos-kit-wallets",67272,3260,9433,"2024-06-28"
"@cosmos-kit/coin98","cosmos-kit-wallets",32992,845,3395,"2024-06-28"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",184188,4407,14461,"2024-06-28"
"@cosmos-kit/exodus","cosmos-kit-wallets",26220,795,3178,"2024-06-28"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",36700,2993,6560,"2024-06-28"
"@cosmos-kit/leap","cosmos-kit-wallets",179325,3838,12616,"2024-06-28"
"@cosmos-kit/xdefi","cosmos-kit-wallets",75162,3046,8560,"2024-06-28"
"@cosmos-kit/web3auth","cosmos-kit-wallets",19435,393,1376,"2024-06-28"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",3106,122,447,"2024-06-28"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",146656,3454,10592,"2024-06-28"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",28427,820,3243,"2024-06-28"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",136294,3425,10549,"2024-06-28"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",46102,942,3514,"2024-06-28"
"@cosmos-kit/station","cosmos-kit-wallets",67054,3244,9413,"2024-06-28"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",26623,795,3212,"2024-06-28"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",146953,4027,13103,"2024-06-28"
"@cosmos-kit/initia","cosmos-kit-wallets",2990,118,436,"2024-06-28"
"@cosmos-kit/frontier","cosmos-kit-wallets",35390,796,3182,"2024-06-28"
"@cosmos-kit/trust","cosmos-kit-wallets",47240,2975,6424,"2024-06-28"
"@cosmos-kit/compass","cosmos-kit-wallets",36136,871,3527,"2024-06-28"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",186380,4432,15234,"2024-06-28"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",194866,4697,16173,"2024-06-28"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",6202,356,1331,"2024-06-28"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",41568,922,3688,"2024-06-28"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",95140,3196,9195,"2024-06-28"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",56558,2599,6577,"2024-06-28"
"@cosmos-kit/omni","cosmos-kit-wallets",41823,915,3537,"2024-06-28"
"@cosmos-kit/keplr","cosmos-kit-wallets",200980,4260,14991,"2024-06-28"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",43646,922,3609,"2024-06-28"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",107943,3954,13060,"2024-06-28"
"@cosmwasm/ts-codegen","cosmwasm",504964,19859,72223,"2024-06-28"
"@cosmwasm/ts-codegen-types","cosmwasm",1694,514,1058,"2024-06-28"
"@cosmwasm/ts-codegen-ast","cosmwasm",1729,590,1134,"2024-06-28"
"wasm-ast-types","cosmwasm",500929,19163,70940,"2024-06-28"
"cosmwasm-typescript-gen","cosmwasm",4418,0,11,"2024-06-28"
"@interchain-ui/react","interchain-ui",72210,1952,8198,"2024-06-28"
"@interchain-ui/vue","interchain-ui",5493,102,306,"2024-06-28"
"@cosmology/telescope","telescope",101572,4250,16808,"2024-06-28"
"@cosmology/lcd","telescope",109285,4700,23225,"2024-06-28"
"@cosmology/ast","telescope",100409,4140,16470,"2024-06-28"
"@cosmology/types","telescope",96841,4140,16321,"2024-06-28"
"@cosmology/utils","telescope",96618,4133,16310,"2024-06-28"
"@cosmology/proto-parser","telescope",96267,4120,16297,"2024-06-28"
"@osmonauts/telescope","telescope",234713,5114,19055,"2024-06-28"
"@osmonauts/lcd","telescope",685045,17273,68373,"2024-06-28"
"@osmonauts/ast","telescope",228505,5134,19141,"2024-06-28"
"@osmonauts/utils","telescope",214802,5127,19117,"2024-06-28"
"@osmonauts/types","telescope",239924,5131,19129,"2024-06-28"
"@osmonauts/proto-parser","telescope",241840,5137,19134,"2024-06-28"
"@dydxprotocol/v4-client-js","dydx",32408,1836,5389,"2024-06-28"
"stargazejs","stargaze",13698,102,532,"2024-06-28"
"@stargaze-zone/chain","stargaze",1082,1,4,"2024-06-28"
"@stargaze-zone/contracts","stargaze",1469,3,7,"2024-06-28"
"stargaze-query","stargaze",1360,19,116,"2024-06-28"
"stridejs","stride",22476,257,1420,"2024-06-28"
"quicksilverjs","quicksilver",4138,0,28,"2024-06-28"
"juno-network","juno",17321,318,1119,"2024-06-28"
"@juno-network/assets","juno",3560,0,5,"2024-06-28"
"@osmonauts/math","osmosis",16978,478,2030,"2024-06-28"
"osmojs","osmosis",241167,5247,23131,"2024-06-28"
"osmo-query","osmosis",7158,123,2533,"2024-06-28"
"@chain-registry/client","chain-registry",78266,8317,22369,"2024-06-28"
"@chain-registry/types","chain-registry",845410,25658,82818,"2024-06-28"
"@chain-registry/keplr","chain-registry",229489,11587,30830,"2024-06-28"
"@chain-registry/cosmostation","chain-registry",185243,7266,22959,"2024-06-28"
"@chain-registry/osmosis","chain-registry",51601,1411,6250,"2024-06-28"
"@chain-registry/juno","chain-registry",17067,522,2442,"2024-06-28"
"@chain-registry/assets","chain-registry",29359,650,3598,"2024-06-28"
"@chain-registry/utils","chain-registry",200112,10850,29163,"2024-06-28"
"chain-registry","chain-registry",430157,8390,33859,"2024-06-28"
"cosmjs-utils","cosmology",21700,123,616,"2024-06-28"
"@cosmology/cli","cosmology",11131,0,18,"2024-06-28"
"@cosmology/core","cosmology",22027,92,496,"2024-06-28"
"cosmology","cosmology",11680,0,12,"2024-06-28"
"interchain","cosmology",13571,280,890,"2024-06-28"
"interchain-query","cosmology",10706,135,357,"2024-06-28"
"create-cosmos-app","cosmology",7561,34,207,"2024-06-28"
"create-cosmwasm-app","cosmology",2499,1,6,"2024-06-28"
"@cosmology-ui/react","cosmology",26144,32,186,"2024-06-28"
"starshipjs","starship",1976,100,636,"2024-06-28"
"@starship-ci/cli","starship",2893,343,1393,"2024-06-28"
"@starship-ci/client","starship",3175,289,1412,"2024-06-28"
"@launchql/db-templates","launchql",2905,3,23,"2024-06-28"
"@launchql/db-transform","launchql",1332,0,25,"2024-06-28"
"@launchql/ext-achievements","launchql",1686,1,6,"2024-06-28"
"@launchql/ext-jobs-queue","launchql",1764,0,4,"2024-06-28"
"@launchql/ext-jwt-claims","launchql",1779,6,11,"2024-06-28"
"@launchql/ext-types","launchql",1975,3,63,"2024-06-28"
"@launchql/faker","launchql",1680,3,10,"2024-06-28"
"@launchql/inflection","launchql",1956,0,9,"2024-06-28"
"@launchql/totp","launchql",1726,0,8,"2024-06-28"
"@pgql/parse","launchql",72235,17,89,"2024-06-28"
"@pgsql/deparser","launchql",,,,"2024-06-28"
"@pgsql/enums","launchql",689,0,4,"2024-06-28"
"@pgsql/parser","launchql",165,1,19,"2024-06-28"
"@pgsql/types","launchql",63515,12416,39290,"2024-06-28"
"@pgsql/utils","launchql",936,1,7,"2024-06-28"
"@pyramation/postgraphile-plugin-fulltext-filter","launchql",29282,534,1992,"2024-06-28"
"graphile-column-privileges-mutations","launchql",2611,75,180,"2024-06-28"
"libpg-query","launchql",2833383,47094,199003,"2024-06-28"
"pg-proto-parser","launchql",3712,24,336,"2024-06-28"
"pg-query-native-latest","launchql",387,11,33,"2024-06-28"
"pg-utils","launchql",606,1,4,"2024-06-28"
"pgsql-deparser","launchql",2499530,36717,157424,"2024-06-28"
"pgsql-enums","launchql",2714309,36716,157388,"2024-06-28"
"pgsql-parser","launchql",2507274,36746,159675,"2024-06-28"
"@protobufs/cosmos","protobufs",268368,10176,36688,"2024-06-28"
"@protobufs/google","protobufs",274253,10042,36410,"2024-06-28"
"@protobufs/gogoproto","protobufs",274125,10039,36412,"2024-06-28"
"@protobufs/cosmwasm","protobufs",98352,5010,17881,"2024-06-28"
"@protobufs/tendermint","protobufs",267776,10011,36177,"2024-06-28"
"@protobufs/ibc","protobufs",99584,5017,17927,"2024-06-28"
"@protobufs/cosmos_proto","protobufs",272412,10016,36159,"2024-06-28"
"@protobufs/osmosis","protobufs",12067,130,436,"2024-06-28"
"@protobufs/secret","protobufs",514,0,3,"2024-06-28"
"@protobufs/juno","protobufs",1791,10,30,"2024-06-28"
"@protobufs/akash","protobufs",745,2,11,"2024-06-28"
"@protobufs/regen","protobufs",653,2,11,"2024-06-28"
"@protobufs/pylons","protobufs",490,2,5,"2024-06-28"
"@protobufs/stargaze","protobufs",745,3,12,"2024-06-28"
"@protobufs/bcna","protobufs",567,2,9,"2024-06-28"
"@protobufs/comdex","protobufs",485,2,9,"2024-06-28"
"@protobufs/evmos","protobufs",353,2,5,"2024-06-28"
"@protobufs/axelar","protobufs",321,1,4,"2024-06-28"
"@protobufs/amino","protobufs",100985,5133,18436,"2024-06-28"
"@cosmology/protobufjs","protobufs",190684,8986,33673,"2024-06-28"
"@pyramation/protobufjs","protobufs",213081,5219,19526,"2024-06-28"
"ast-stringify","utils",405294,14383,53500,"2024-06-28"
"nested-obj","utils",2397,551,1174,"2024-06-28"
"strfy-json","utils",,,,"2024-06-28"
"schema-typescript","utils",3178,189,980,"2024-06-28"
"etag-hash","utils",40745,472,2388,"2024-06-28"
"uuid-hash","utils",13584,381,972,"2024-06-28"
"inquirerer","utils",413659,14671,54768,"2024-06-28"
"publish-scripts","utils",12401,110,667,"2024-06-28"
"skitch-template","utils",1320,8,39,"2024-06-28"
