"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",23856,831,3268,"2024-07-25"
"@cosmos-kit/core","cosmos-kit",380263,10473,50513,"2024-07-25"
"@cosmos-kit/react","cosmos-kit",120116,2193,9627,"2024-07-25"
"@cosmos-kit/react-lite","cosmos-kit",130027,3032,12438,"2024-07-25"
"@cosmos-kit/walletconnect","cosmos-kit",240362,7892,33519,"2024-07-25"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",40530,902,4072,"2024-07-25"
"@cosmos-kit/ledger","cosmos-kit-wallets",32579,983,4085,"2024-07-25"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",22035,537,2727,"2024-07-25"
"@cosmos-kit/fin","cosmos-kit-wallets",28976,924,3852,"2024-07-25"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",36270,902,3990,"2024-07-25"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",90441,5858,22555,"2024-07-25"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",65808,5436,21224,"2024-07-25"
"@cosmos-kit/shell","cosmos-kit-wallets",31244,903,3744,"2024-07-25"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",1389,43,285,"2024-07-25"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",169292,6896,26346,"2024-07-25"
"@cosmos-kit/vectis","cosmos-kit-wallets",51344,1325,5767,"2024-07-25"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",33729,977,4083,"2024-07-25"
"@cosmos-kit/ninji","cosmos-kit-wallets",6653,102,885,"2024-07-25"
"@cosmos-kit/station-extension","cosmos-kit-wallets",88841,6115,23353,"2024-07-25"
"@cosmos-kit/coin98","cosmos-kit-wallets",36490,902,3973,"2024-07-25"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",209660,7468,28688,"2024-07-25"
"@cosmos-kit/exodus","cosmos-kit-wallets",29515,895,3761,"2024-07-25"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",55478,5358,20969,"2024-07-25"
"@cosmos-kit/leap","cosmos-kit-wallets",201209,6731,26004,"2024-07-25"
"@cosmos-kit/xdefi","cosmos-kit-wallets",94803,5624,21355,"2024-07-25"
"@cosmos-kit/web3auth","cosmos-kit-wallets",20565,92,1315,"2024-07-25"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",3479,71,456,"2024-07-25"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",166464,6142,23577,"2024-07-25"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",31720,901,3772,"2024-07-25"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",157303,6179,23613,"2024-07-25"
